metric,classic,treatment,role
problem_count,3,3,exact_gate
candidate_count,48,48,exact_gate
llm_call_count,96,96,exact_gate
total_llm_tokens,232161,241048,disclosure
valid_ppa_candidate_count,31,30,noncatastrophic_check
rtl_simulation_functional_design_count,3,3,noncatastrophic_check
valid_ppa_design_count,3,3,noncatastrophic_check
failed_parent_request_count,8,9,mechanism_context
direct_valid_ppa_repair_count,1,4,noninferential_smoke_telemetry
mean_unconditional_valid_ppa_repair_rate,0.020833333333,0.083333333333,noninferential_smoke_telemetry
run_wall_seconds,140.135107,145.541798,disclosure
