seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,13,13,624,601,252,241,0.403846,0.386218,0.287754,0.086719,0.079060,20,33,60,0.054364,0.022544,0.325543,0.671041,56.000000,20.000000,0.371680,0.082554,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,7,7,336,317,160,152,0.476190,0.452381,0.299233,0.103990,0.089836,14,25,46,0.100962,0.041868,0.272569,0.989469,46.000000,14.000000,0.549743,0.089162,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,6,6,288,284,92,89,0.319444,0.309028,0.267665,0.066570,0.066487,6,8,14,0.000000,0.000000,0.387346,0.299541,10.000000,6.000000,0.163939,0.074846,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,13,13,624,601,252,241,0.403846,0.386218,0.287754,0.086719,0.079060,20,33,60,0.054364,0.022544,0.325543,0.671041,56.000000,20.000000,0.371680,0.082554,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,7,7,336,317,160,152,0.476190,0.452381,0.299233,0.103990,0.089836,14,25,46,0.100962,0.041868,0.272569,0.989469,46.000000,14.000000,0.549743,0.089162,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,t51_feedback_front_slot_qd,T59 T51 feedback front-slot QD,6,6,288,284,92,89,0.319444,0.309028,0.267665,0.066570,0.066487,6,8,14,0.000000,0.000000,0.387346,0.299541,10.000000,6.000000,0.163939,0.074846,0.000000,0.000000
