benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,reference_missing_reason
RTLLM,Prob004_adder_8bit,yes,yes,yes,headline,28,36,
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,13,14,
RTLLM,Prob024_fsm,yes,yes,yes,headline,16,23,
RTLLM,Prob037_parallel2serial,yes,yes,yes,headline,18,15,
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,20,18,
RTLLM,Prob045_alu,yes,yes,yes,headline,10,7,
RTLLM,Prob049_signal_generator,yes,yes,yes,headline,17,39,
VerilogEval-Spec-to-RTL,Prob098_circuit7,yes,yes,yes,headline,34,19,
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,yes,yes,yes,headline,28,27,
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,yes,yes,yes,headline,37,27,
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,yes,yes,yes,headline,21,13,
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,yes,yes,yes,headline,2,1,
VerilogEval-Spec-to-RTL,Prob153_gshare,yes,yes,yes,headline,13,2,
