seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,code_thought_front_slot_qd,T51 code-thought front-slot QD,13,13,624,598,272,266,0.435897,0.426282,0.293480,0.089252,0.085454,21,43,75,0.076816,0.004209,0.193109,0.897712,67.000000,21.000000,0.583905,0.074824,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,code_thought_front_slot_qd,T51 code-thought front-slot QD,7,7,336,314,154,148,0.458333,0.440476,0.329313,0.108662,0.101737,10,32,46,0.096751,0.000176,0.167080,1.495196,46.000000,10.000000,0.996421,0.082824,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_front_slot_qd,T51 code-thought front-slot QD,6,6,288,284,118,118,0.409722,0.409722,0.243315,0.066606,0.066456,11,11,29,0.053557,0.008914,0.223476,0.200647,21.000000,11.000000,0.102636,0.065490,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,code_thought_front_slot_qd,T51 code-thought front-slot QD,13,13,624,598,272,266,0.435897,0.426282,0.293480,0.089252,0.085454,21,43,75,0.076816,0.004209,0.193109,0.897712,67.000000,21.000000,0.583905,0.074824,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,code_thought_front_slot_qd,T51 code-thought front-slot QD,7,7,336,314,154,148,0.458333,0.440476,0.329313,0.108662,0.101737,10,32,46,0.096751,0.000176,0.167080,1.495196,46.000000,10.000000,0.996421,0.082824,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_front_slot_qd,T51 code-thought front-slot QD,6,6,288,284,118,118,0.409722,0.409722,0.243315,0.066606,0.066456,11,11,29,0.053557,0.008914,0.223476,0.200647,21.000000,11.000000,0.102636,0.065490,0.000000,0.000000
