backend,benchmark,problem,circuit_type,search_mode,archive_type,descriptor_profile,generation,generation_views_available,source,candidate_id,strategy,score,quality_score,color_score,origin_pool,generated_mode,decision,inserted,replaced,cell_id,is_final_elite,area,power,eff_clk_period,tns,wns,g_A,g_P,g_T,report_path,candidate_dir,code_file_path,metrics_json_path,qd_event_path,vcd_file_path,has_qd_event,has_metrics_json,has_code_file,has_vcd_file,has_structural_metrics,has_rtl_metrics,has_graph_metrics,has_dynamic_metrics,has_physical_metrics,warning_messages,adder_ratio,arithmetic_cells,cell_count_log,comb_ratio,comb_width_log,combinational_cells,edge_per_node,ff_depth,hyper_cell_count,hyper_directed_edge_count,hyper_driven_net_count,hyper_fanout_entropy,hyper_max_fanout,hyper_max_level,hyper_max_level_delta,hyper_mean_fanout,hyper_net_count,hyper_sink_net_count,laplacian_lambda2,laplacian_spectral_entropy,log_edge_count,log_max_level,log_net_count,log_node_count,logic_depth,logic_depth_ltp,logic_depth_ltp_delta,ltp_noff,mux_cells,mux_ratio,reconv_sink_ratio,reconv_source_ratio,rent_clamped_flag,rent_confidence,rent_exponent,rent_exponent_confidence_gated,rent_graph_node_count,rent_k,rent_r2,rent_raw_sample_count,rent_retained_sample_ratio,rent_sample_count,scoap_cc0_bin_0_pct,scoap_cc0_bin_1_pct,scoap_cc0_bin_2_pct,scoap_cc0_bin_3_pct,scoap_cc1_bin_0_pct,scoap_cc1_bin_1_pct,scoap_cc1_bin_2_pct,scoap_cc1_bin_3_pct,scoap_co_bin_0_pct,scoap_co_bin_1_pct,scoap_co_bin_2_pct,scoap_co_bin_3_pct,scoap_signal_smoothness,seq_ratio,sequential_cells,share_family_inv,t11_runtime_pca_0,t11_runtime_pca_1,t11_runtime_pca_2,t11_runtime_pca_3,total_cells,utilization
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,6c5afb32-6c1f-47ed-80de-d42eb23f8331,initial,0.023107098236111234,,0.023107098236111234,,,,False,False,,False,623.0,0.0911,1.05,-15.16,-1.04,0.36428571428571427,-0.0144766146993318,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,6cbb59cb-9e02-4244-8c29-ce4e715e53f1,initial,-0.1597337223769946,,-0.1597337223769946,,,,False,False,,False,868.0,0.142,0.83,-25.59,-0.82,0.11428571428571428,-0.5812917594654786,-0.012195121951219386,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,fb16273a-121e-4c9b-977a-12567ed8f633,initial,0.023107098236111234,,0.023107098236111234,,,,False,False,,False,623.0,0.0911,1.05,-15.17,-1.04,0.36428571428571427,-0.0144766146993318,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,0,True,generation_log,a229c029-1845-4746-af8b-5f1617ccc406,initial,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,744f4ec0-d6a0-4db2-90e1-9bf86b7847f8,M-E,-0.31283616820078025,,-0.31283616820078025,,,,False,False,,False,1117.0,0.167,0.77,-31.22,-0.76,-0.13979591836734695,-0.8596881959910914,0.06097560975609761,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,c40f8336-ed49-434b-ab5c-c9356f0d6b60,M-I,-0.01710947728540052,,-0.01710947728540052,,,,False,False,,False,653.0,0.0959,1.08,-15.87,-1.07,0.3336734693877551,-0.06792873051224937,-0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,1,True,generation_log,2311efeb-57f2-4961-a4f3-9fcbd9577fc1,C-F,-0.3762094886300436,,-0.3762094886300436,,,,False,False,,False,1057.0,0.183,0.83,-32.2,-0.82,-0.07857142857142857,-1.037861915367483,-0.012195121951219386,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,c947885c-3626-4507-801a-f6525d8b7b50,M-F,-0.07596036839419344,,-0.07596036839419344,,,,False,False,,False,708.0,0.11,1.05,-17.1,-1.04,0.27755102040816326,-0.22494432071269482,-0.28048780487804875,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,b2c9db15-c778-49ff-ac6e-886346e620f5,M-S,-0.00037766206488025017,,-0.00037766206488025017,,,,False,False,,False,630.0,0.0935,1.08,-16.13,-1.07,0.35714285714285715,-0.04120267260579059,-0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,sequential,revolution,,,2,True,generation_log,95aad1e1-69f1-484e-baf2-ee55b1d39ca2,M-S,-0.00037766206488025017,,-0.00037766206488025017,,,,False,False,,False,630.0,0.0935,1.08,-16.13,-1.07,0.35714285714285715,-0.04120267260579059,-0.3170731707317073,,,,,,,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
