seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_generated_thought_count,total_generated_code_sample_count,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,12,12,576,527,253,244,0.439236,0.423611,0.237868,0.100303,0.088848,26,45,79,0.126852,0.081526,,,,,,,,,,
all,all,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,12,12,336,326,159,156,0.424769,0.415509,0.301301,0.073617,0.059753,18,26,47,0.042943,0.005544,0.120756,0.247514,15.000000,17.000000,0.121958,0.030671,44.000000,132.000000,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
all,RTLLM,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,7,7,216,210,124,121,0.519841,0.503968,0.320702,0.097894,0.088281,13,22,38,0.073617,0.009504,0.171296,0.422595,13.000000,12.000000,0.208214,0.034722,24.000000,72.000000,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,5,5,240,221,122,122,0.508333,0.508333,0.141333,0.079492,0.079489,7,8,15,0.074331,0.000183,,,,,,,,,,
all,VerilogEval-Spec-to-RTL,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,5,5,120,116,35,35,0.291667,0.291667,0.267348,0.039629,0.019815,5,4,9,0.000000,0.000000,0.050000,0.002401,2.000000,5.000000,0.001201,0.025000,20.000000,60.000000,0.000000,0.000000
1001,all,classic_revolution,Classic,12,12,576,527,253,244,0.439236,0.423611,0.237868,0.100303,0.088848,26,45,79,0.126852,0.081526,,,,,,,,,,
1001,all,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,12,12,336,326,159,156,0.424769,0.415509,0.301301,0.073617,0.059753,18,26,47,0.042943,0.005544,0.120756,0.247514,15.000000,17.000000,0.121958,0.030671,44.000000,132.000000,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,,,
1001,RTLLM,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,7,7,216,210,124,121,0.519841,0.503968,0.320702,0.097894,0.088281,13,22,38,0.073617,0.009504,0.171296,0.422595,13.000000,12.000000,0.208214,0.034722,24.000000,72.000000,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,5,5,240,221,122,122,0.508333,0.508333,0.141333,0.079492,0.079489,7,8,15,0.074331,0.000183,,,,,,,,,,
1001,VerilogEval-Spec-to-RTL,candidate_matched_thought_front_qd,T50 candidate-matched thought front QD,5,5,120,116,35,35,0.291667,0.291667,0.267348,0.039629,0.019815,5,4,9,0.000000,0.000000,0.050000,0.002401,2.000000,5.000000,0.001201,0.025000,20.000000,60.000000,0.000000,0.000000
