comparison,metric,t50_value,reference_value,delta,relative_delta
t50_minus_t47,mean_global_ppa_hypervolume,0.073617,0.092717,-0.019100,-0.206003
t50_minus_t47,mean_hv_auc,0.059753,0.065326,-0.005573,-0.085311
t50_minus_t47,mean_best_score,0.301301,0.284762,0.016539,0.058080
t50_minus_t47,valid_ppa_count,156,211,-55.000000,-0.260664
t50_minus_t47,total_ppa_front_points,18,25,-7.000000,-0.280000
t50_minus_t47,total_unique_ppa_points,47,74,-27.000000,-0.364865
t50_minus_t47,total_reference_beating_count,26,32,-6.000000,-0.187500
t50_minus_t48,mean_global_ppa_hypervolume,0.073617,0.097141,-0.023524,-0.242163
t50_minus_t48,mean_hv_auc,0.059753,0.082140,-0.022387,-0.272547
t50_minus_t48,mean_best_score,0.301301,0.263225,0.038076,0.144652
t50_minus_t48,valid_ppa_count,156,210,-54.000000,-0.257143
t50_minus_t48,total_ppa_front_points,18,23,-5.000000,-0.217391
t50_minus_t48,total_unique_ppa_points,47,65,-18.000000,-0.276923
t50_minus_t48,total_reference_beating_count,26,31,-5.000000,-0.161290
t50_minus_t49,mean_global_ppa_hypervolume,0.073617,0.094111,-0.020494,-0.217764
t50_minus_t49,mean_hv_auc,0.059753,0.090063,-0.030310,-0.336542
t50_minus_t49,mean_best_score,0.301301,0.295131,0.006170,0.020906
t50_minus_t49,valid_ppa_count,156,221,-65.000000,-0.294118
t50_minus_t49,total_ppa_front_points,18,17,1.000000,0.058824
t50_minus_t49,total_unique_ppa_points,47,71,-24.000000,-0.338028
t50_minus_t49,total_reference_beating_count,26,38,-12.000000,-0.315789
