benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,valid_ppa_yield_status,reference_missing_reason
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,11,6,pass,
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,29,23,pass,
RTLLM,Prob045_alu,yes,yes,yes,headline,31,20,pass,
