metric,shipped,open_clean,delta,relative_delta_pct
bytes,1914276,1924502,10226,0.534
line_count,30985,38890,7905,25.512
assign_line_count,20153,20063,-90,-0.447
wire_line_count,5377,5486,109,2.027
dff_line_count,0,0,0,na
attribute_line_count,0,0,0,na
