metric,shipped,open_clean,delta,relative_delta_pct
bytes,2584738,2574012,-10726,-0.415
line_count,149054,147819,-1235,-0.829
assign_line_count,1236,1239,3,0.243
wire_line_count,24079,24136,57,0.237
dff_line_count,2431,2431,0,0.000
attribute_line_count,0,0,0,na
