metric,shipped,open_clean,delta,relative_delta_pct
graph_node_key_count,22306,22061,-245,-1.098
graph_edge_count,65938,65454,-484,-0.734
node_dict_count,51337,51128,-209,-0.407
graph_pickle_bytes,870007,871381,1374,0.158
node_dict_pickle_bytes,3560907,3546636,-14271,-0.401
