arm,descriptor,problems,mean_hv,mean_pareto_points,mean_reference_beating,hv_wins_vs_classic,decision
classic_revolution_12x3,none,3,0.190331,3.00,17.33,3,comparator
fg_qdm_sr_memory_warmup4_12x3,sr_pca_3d,3,0.137536,2.00,9.00,0,not_promoted
fg_qdm_random_memory_12x3,random_hash_3d,3,0.138162,2.67,9.67,0,control_negative
fg_qdm_shape_density_memory_12x3,source_aligned_shape_density_3d,3,0.126367,3.00,7.00,0,not_promoted
