method,seed,status,raw_root,notes
classic_revolution,1001,reuse,exp/useful_bd_push/t47_t26_contract_probe_20260622_203146_UTC/hard_tuning/classic_revolution/seed_1001,T47 matched classic comparator
code_thought_front_slot_qd,1001,reuse,exp/useful_bd_push/t51_code_thought_front_slot_20260623_030540_UTC/hard_tuning/code_thought_front_slot_qd/seed_1001,T51 adaptive-rebin off-mode comparator
t51_adaptive_rebin_qd,1001,planned,exp/useful_bd_push/t57_t51_adaptive_rebin_<timestamp>/hard_tuning/t51_adaptive_rebin_qd/seed_1001,T51 with KS-triggered adaptive grid-quantile rebinning
