stage,classic_pass_count,method_pass_count,classic_rate,method_rate,relative_delta,gate_min_baseline_passes,gate_enforced,small_n_validity,collapse_50pct
functionality,209,209,0.7256944444444444,0.7256944444444444,0.0,10,True,False,False
synthesis,209,209,0.7256944444444444,0.7256944444444444,0.0,10,True,False,False
valid_ppa,209,209,0.7256944444444444,0.7256944444444444,0.0,10,True,False,False
