benchmark,problem,classic_valid_ppa,qd_valid_ppa,reference_ppa_valid,comparison_status,classic_valid_ppa_count,qd_valid_ppa_count,valid_ppa_yield_status,reference_missing_reason
RTLLM,Prob015_multi_pipe_8bit,yes,yes,yes,headline,24,7,yield_warning,
RTLLM,Prob024_fsm,yes,yes,yes,headline,10,19,pass,
RTLLM,Prob041_traffic_light,yes,yes,yes,headline,20,19,pass,
RTLLM,Prob045_alu,yes,yes,yes,headline,36,17,yield_warning,
RTLLM,Prob049_signal_generator,yes,yes,yes,headline,16,41,pass,
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,yes,yes,yes,headline,31,28,pass,
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,yes,yes,yes,headline,41,33,pass,
VerilogEval-Spec-to-RTL,Prob153_gshare,yes,yes,yes,headline,13,16,pass,
