method,method_label,source_run_root,mode
classic_revolution,T42 Classic,exp/useful_bd_push/t42_initial_sparse_yield_gate_qd_20260622_093940_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
initial_sparse_yield_gate_qd,T42 initial gate,exp/useful_bd_push/t42_initial_sparse_yield_gate_qd_20260622_093940_UTC,initial_sparse_yield_gate_qd/seed_1001/openai_gpt-oss-120b
adaptive_sparse_yield_gate_qd,T41 adaptive gate,exp/useful_bd_push/t41_adaptive_sparse_yield_gate_qd_20260622_083629_UTC,adaptive_sparse_yield_gate_qd/seed_1001/openai_gpt-oss-120b
manual_sparse_pareto_qd,T40 manual BD,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,manual_sparse_pareto_qd/seed_1001/openai_gpt-oss-120b
random_sparse_elite_slot_qd,T40 random one-slot,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,random_sparse_elite_slot_qd/seed_1001/openai_gpt-oss-120b
graph_full_pareto_sparse_qd,T40 graph full Pareto,exp/useful_bd_push/t40_sparse_warmup_control_matrix_20260622_070540_UTC,graph_full_pareto_sparse_qd/seed_1001/openai_gpt-oss-120b
t39_sparse_warmup_elite_slot_qd,T39 one-slot,exp/useful_bd_push/t39_sparse_yield_warmup_qd_20260622_062937_UTC,sparse_warmup_elite_slot_qd/seed_1001/openai_gpt-oss-120b
