seed,metric,unit_count,classic_mean,treatment_mean,mean_delta
1001,unconditional_valid_ppa_repair_rate,8,0.04166666666666667,0.04947916666666667,0.0078125
1002,unconditional_valid_ppa_repair_rate,8,0.0390625,0.041666666666666664,0.0026041666666666644
1001,final_hypervolume,8,0.17588500271528526,0.167756077636585,-0.00812892507870025
1002,final_hypervolume,8,0.19170740091620597,0.19695224376990542,0.005244842853699444
1001,hypervolume_auc,8,0.15277688057963124,0.15006858659814626,-0.002708293981484977
1002,hypervolume_auc,8,0.13784940902133,0.155857101154485,0.018007692133155007
1001,rtl_simulation_functionality,8,1.0,1.0,0.0
1002,rtl_simulation_functionality,8,1.0,1.0,0.0
1001,verification_complete_valid_ppa,8,1.0,1.0,0.0
1002,verification_complete_valid_ppa,8,1.0,1.0,0.0
1001,valid_ppa_sample_yield,8,0.5885416666666666,0.640625,0.05208333333333337
1002,valid_ppa_sample_yield,8,0.5833333333333333,0.5911458333333334,0.007812500000000111
1001,best_normalized_ppa,8,0.33300910578166165,0.3391743978249487,0.0061652920432870295
1002,best_normalized_ppa,8,0.34016472227120864,0.3109676236239811,-0.029197098647227526
