seed,problem,circuit_type,arm,unit_status,candidate_count,llm_calls,llm_tokens,synthesis_evaluations,rtl_simulation_functionality,verification_complete_valid_ppa,valid_ppa_sample_count,valid_ppa_sample_yield,best_normalized_ppa,runtime_seconds,unconditional_valid_ppa_repair_rate,direct_rtl_repairs,direct_valid_ppa_repairs,fail_parent_requests,conditional_rtl_simulation_repair_yield,conditional_valid_ppa_repair_yield,first_direct_valid_ppa_repair_generation,recovered_design,initial_fail_pool_size,initial_success_pool_size,direct_repair_stage_transitions,final_hypervolume,hypervolume_auc
1001,Prob002_adder_16bit,combinational,classic,complete,48,96,272357,47,1.0,1.0,47,0.9791666666666666,0.3999021508354103,792.3989534378052,0.0,0,0,0,0.0,0.0,,0,0,8,{},0.2051142342841318,0.205114234284
1001,Prob024_fsm,combinational,classic,complete,48,96,276308,14,1.0,1.0,11,0.22916666666666666,0.49167240120946715,846.1139717102051,0.10416666666666667,7,5,15,0.4666666666666667,0.3333333333333333,1,0,7,1,"{""format->syntax"":1,""format->synthesis"":1,""syntax->syntax"":5,""syntax->synthesis"":1,""syntax->valid_ppa"":2,""synthesis->format"":1,""synthesis->syntax"":1,""synthesis->valid_ppa"":3}",0.13769158586174537,0.115539568346
1001,Prob025_sequence_detector,sequential,classic,complete,48,96,245841,6,1.0,1.0,6,0.125,0.25239645505516367,672.6034419536591,0.10416666666666667,5,5,23,0.21739130434782608,0.21739130434782608,1,1,8,0,"{""format->format"":15,""format->syntax"":2,""format->valid_ppa"":5,""syntax->format"":1}",0.01413599109004198,0.012722391981
1001,Prob027_LIFObuffer,sequential,classic,complete,48,96,329723,36,1.0,1.0,35,0.7291666666666666,0.22875686567706902,893.5385947227478,0.08333333333333333,4,4,5,0.8,0.8,1,0,5,3,"{""format->syntax"":1,""format->valid_ppa"":1,""syntax->valid_ppa"":3}",0.006799893326980432,0.00473724810215
1001,Prob036_edge_detect,sequential,classic,complete,48,96,237320,34,1.0,1.0,33,0.6875,-0.0,599.9099757671356,0.0,0,0,0,0.0,0.0,,0,0,8,{},0.3558897243107769,0.32030075188
1001,Prob041_traffic_light,combinational,classic,complete,48,96,400580,26,1.0,1.0,26,0.5416666666666666,0.44815117404986693,991.8265199661255,0.041666666666666664,2,2,8,0.25,0.25,1,0,6,2,"{""syntax->syntax"":6,""syntax->valid_ppa"":2}",0.382047204066812,0.314104320988
1001,Prob043_RAM,sequential,classic,complete,48,96,298532,38,1.0,1.0,38,0.7916666666666666,0.44282189588469034,709.004950761795,0.0,0,0,0,0.0,0.0,,0,0,8,{},0.0972335945771809,0.0646591424999
1001,Prob045_alu,combinational,classic,complete,48,96,480764,30,1.0,1.0,30,0.625,0.4003719035416256,1022.5288033485413,0.0,0,0,10,0.0,0.0,,0,6,2,"{""syntax->format"":1,""syntax->syntax"":9}",0.20816779420461268,0.185037386556
1001,Prob002_adder_16bit,combinational,treatment,complete,48,96,271220,46,1.0,1.0,46,0.9583333333333334,0.3999021508354103,803.3713586330414,0.0,0,0,0,0.0,0.0,,0,0,8,{},0.2051142342841318,0.205114234284
1001,Prob024_fsm,combinational,treatment,complete,48,96,260882,14,1.0,1.0,14,0.2916666666666667,0.49167240120946715,755.9356141090393,0.125,6,6,13,0.46153846153846156,0.46153846153846156,1,1,8,0,"{""format->valid_ppa"":3,""syntax->format"":1,""syntax->syntax"":6,""syntax->valid_ppa"":3}",0.14566781357522673,0.123343759775
