seed,problem,backend,generation,strategy,ppa_score,g_A,g_P,g_T,area,power,eff_clk_period
1001,Prob015_multi_pipe_8bit,classic,0,initial,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1001,Prob015_multi_pipe_8bit,S07_capacity3,1,M-R,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1001,Prob015_multi_pipe_8bit,smooth_qd_v2,0,initial,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1001,Prob024_fsm,classic,3,M-I,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1001,Prob024_fsm,S07_capacity3,1,M-I,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1001,Prob024_fsm,smooth_qd_v2,5,C-F,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1002,Prob015_multi_pipe_8bit,classic,1,M-S,0.141258693711,0.420408163265,0.259465478842,-0.256097560976,568,0.0665,1.03
1002,Prob015_multi_pipe_8bit,S07_capacity3,5,M-R,0.154615828623,0.388775510204,0.428730512249,-0.353658536585,599,0.0513,1.11
1002,Prob015_multi_pipe_8bit,smooth_qd_v2,5,M-S,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1002,Prob024_fsm,classic,4,M-S,0.522427275571,0.434782608696,0.610071942446,-150000000000,26,0.00271,0.15
1002,Prob024_fsm,S07_capacity3,3,M-E,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1002,Prob024_fsm,smooth_qd_v2,2,M-R,0.522427275571,0.434782608696,0.610071942446,-150000000000,26,0.00271,0.15
1003,Prob015_multi_pipe_8bit,classic,0,initial,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1003,Prob015_multi_pipe_8bit,S07_capacity3,2,M-I,0.253898492419,0.376530612245,0.604677060134,-0.219512195122,611,0.0355,1
1003,Prob015_multi_pipe_8bit,smooth_qd_v2,3,M-I,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1003,Prob024_fsm,classic,1,M-S,0.341789177354,0.217391304348,0.46618705036,-210000000000,36,0.00371,0.21
1003,Prob024_fsm,S07_capacity3,3,M-R,0.522427275571,0.434782608696,0.610071942446,-150000000000,26,0.00271,0.15
1003,Prob024_fsm,smooth_qd_v2,2,M-S,0.340350328433,0.217391304348,0.463309352518,-180000000000,36,0.00373,0.18
1004,Prob015_multi_pipe_8bit,classic,5,C-F,0.15709758943,0.471428571429,-0.280623608018,0.280487804878,518,0.115,0.59
1004,Prob015_multi_pipe_8bit,S07_capacity3,0,initial,0.523047233995,0.384693877551,0.3429844098,0.841463414634,603,0.059,0.13
1004,Prob015_multi_pipe_8bit,smooth_qd_v2,4,M-F,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1004,Prob024_fsm,classic,3,C-F,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1004,Prob024_fsm,S07_capacity3,2,M-R,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1004,Prob024_fsm,smooth_qd_v2,5,M-R,0.522427275571,0.434782608696,0.610071942446,-150000000000,26,0.00271,0.15
1005,Prob015_multi_pipe_8bit,classic,5,M-R,0.0527945329906,0.387755102041,0.0267260579065,-0.256097560976,600,0.0874,1.03
1005,Prob015_multi_pipe_8bit,S07_capacity3,1,M-E,0.171035555294,0.147959183673,0.340757238307,0.0243902439024,835,0.0592,0.8
1005,Prob015_multi_pipe_8bit,smooth_qd_v2,1,M-I,0.0465590810174,0.0387755102041,0.00334075723831,0.0975609756098,942,0.0895,0.74
1005,Prob024_fsm,classic,4,M-S,0.595245542696,0.478260869565,0.712230215827,-140000000000,24,0.002,0.14
1005,Prob024_fsm,S07_capacity3,5,C-F,0.473834845167,0.326086956522,0.621582733813,-250000000000,31,0.00263,0.25
1005,Prob024_fsm,smooth_qd_v2,3,M-I,0.102486706287,-0.108695652174,0.313669064748,-270000000000,51,0.00477,0.27
