seed,backend,problem,circuit_type,hv_final,hv_auc,candidate_count,pareto_point_count,reference_beating_count,covered,best_area_improvement,best_power_improvement,best_period_improvement
1001,classic,Prob015_multi_pipe_8bit,sequential,0.0,0.0,20,6,0,False,0.3877551020408163,0.026726057906458787,0.3658536585365854
1001,S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.0,0.0,11,7,0,False,0.3877551020408163,0.026726057906458787,0.4146341463414635
1001,smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0.0,0.0,15,5,0,False,0.3877551020408163,0.026726057906458787,0.402439024390244
1001,classic,Prob024_fsm,combinational,0.340631842352,0.199386925242,7,1,5,True,0.4782608695652174,0.7122302158273381,0.0
1001,S07_capacity3,Prob024_fsm,combinational,0.340631842352,0.306568658117,13,1,8,True,0.4782608695652174,0.7122302158273381,0.0
1001,smooth_qd_v2,Prob024_fsm,combinational,0.340631842352,0.180450422271,11,1,8,True,0.4782608695652174,0.7122302158273381,0.0
1002,classic,Prob015_multi_pipe_8bit,sequential,0.0,0.0,12,6,0,False,0.4204081632653061,0.2594654788418708,0.3658536585365854
1002,S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.0,0.0,13,6,1,True,0.38877551020408163,0.42873051224944325,0.3658536585365854
1002,smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0.0,0.0,14,4,0,False,0.3877551020408163,0.026726057906458787,0.3658536585365854
1002,classic,Prob024_fsm,combinational,0.265248670629,0.119862370973,5,1,2,True,0.43478260869565216,0.610071942446043,0.0
1002,S07_capacity3,Prob024_fsm,combinational,0.340631842352,0.223756646856,8,1,4,True,0.4782608695652174,0.7122302158273381,0.0
1002,smooth_qd_v2,Prob024_fsm,combinational,0.265248670629,0.210750703785,10,1,6,True,0.43478260869565216,0.610071942446043,0.0
1003,classic,Prob015_multi_pipe_8bit,sequential,0.0,0.0,8,5,0,False,0.3877551020408163,0.026726057906458787,0.402439024390244
1003,S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.0,0.0,8,4,0,False,0.376530612244898,0.6046770601336303,0.4146341463414635
1003,smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0.0,0.0,15,8,0,False,0.3877551020408163,0.026726057906458787,0.2926829268292684
1003,classic,Prob024_fsm,combinational,0.145573975602,0.131016578042,3,2,3,True,0.3695652173913043,0.4661870503597122,0.0
1003,S07_capacity3,Prob024_fsm,combinational,0.265248670629,0.172912105099,6,1,2,True,0.43478260869565216,0.610071942446043,0.0
1003,smooth_qd_v2,Prob024_fsm,combinational,0.144948389115,0.122946512355,6,2,4,True,0.3695652173913043,0.4633093525179856,0.0
1004,classic,Prob015_multi_pipe_8bit,sequential,0.0,0.0,11,3,0,False,0.4714285714285714,0.026726057906458787,0.28048780487804886
1004,S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.111026050922,0.111026050922,11,1,1,True,0.3846938775510204,0.34298440979955463,0.8414634146341463
1004,smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,0.0,0.0,8,3,0,False,0.3877551020408163,0.026726057906458787,0.13414634146341475
1004,classic,Prob024_fsm,combinational,0.340631842352,0.213281201126,12,1,8,True,0.4782608695652174,0.7122302158273381,0.0
1004,S07_capacity3,Prob024_fsm,combinational,0.340631842352,0.259818579918,8,1,5,True,0.4782608695652174,0.7122302158273381,0.0
1004,smooth_qd_v2,Prob024_fsm,combinational,0.276759461996,0.0730935251798,7,2,4,True,0.43478260869565216,0.6431654676258993,0.0
1005,classic,Prob015_multi_pipe_8bit,sequential,0.0,0.0,12,7,0,False,0.3877551020408163,0.026726057906458787,0.3170731707317073
1005,S07_capacity3,Prob015_multi_pipe_8bit,sequential,0.00122971128806,0.00110674015925,19,8,1,True,0.36428571428571427,0.34075723830734966,0.39024390243902446
1005,smooth_qd_v2,Prob015_multi_pipe_8bit,sequential,1.26380064764e-05,1.13742058288e-05,14,9,1,True,0.45816326530612245,0.003340757238307445,0.3048780487804878
1005,classic,Prob024_fsm,combinational,0.340631842352,0.148758210823,8,1,6,True,0.4782608695652174,0.7122302158273381,0.0
1005,S07_capacity3,Prob024_fsm,combinational,0.21532686894,0.115095401939,10,2,6,True,0.3695652173913043,0.6215827338129496,0.0
1005,smooth_qd_v2,Prob024_fsm,combinational,0.0,0.0,4,2,0,False,0.2608695652173913,0.3136690647482014,0.0
