benchmark,problem,classic_valid_ppa_count,qd_valid_ppa_count,reference_ppa_valid,comparison_status,qd_live_summary_status,qd_archive_members,qd_occupied_cells
RTLLM,Prob004_adder_8bit,28,36,yes,headline,success,2,2
RTLLM,Prob015_multi_pipe_8bit,13,10,yes,headline,success,9,7
RTLLM,Prob024_fsm,16,22,yes,headline,success,8,6
RTLLM,Prob037_parallel2serial,18,20,yes,headline,success,7,5
RTLLM,Prob041_traffic_light,20,21,yes,headline,success,15,13
RTLLM,Prob045_alu,10,21,yes,headline,success,15,9
RTLLM,Prob049_signal_generator,17,43,yes,headline,success,3,2
VerilogEval-Spec-to-RTL,Prob098_circuit7,34,20,yes,headline,success,2,2
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,28,31,yes,headline,success,6,6
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,37,40,yes,headline,success,3,2
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,21,14,yes,headline,success,2,2
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,2,3,yes,headline,failed,0,0
VerilogEval-Spec-to-RTL,Prob153_gshare,13,13,yes,headline,success,13,8
