attempt,problem,budget,run_root,total_candidates,valid_ppa,archive_members,descriptor_observations,decision
1,Prob024_fsm,2x0,exp/useful_bd_push/deepgate_runtime_live_smoke_20260626_1115_UTC/qd_deepgate_pooled_pc3_2x0_prob024/seed_1001/openai_gpt-oss-120b,2,0,0,0,no_valid_ppa
2,Prob041_traffic_light,4x0,exp/useful_bd_push/deepgate_runtime_live_smoke_20260626_1135_UTC/qd_deepgate_pooled_pc3_4x0_prob041/seed_1001/openai_gpt-oss-120b,4,0,0,0,no_valid_ppa
3,Prob045_alu,4x0,exp/useful_bd_push/deepgate_runtime_live_smoke_20260626_1145_UTC/qd_deepgate_pooled_pc3_4x0_prob045/seed_1001/openai_gpt-oss-120b,4,0,0,0,no_valid_ppa
4,Prob045_alu,4x1,exp/useful_bd_push/deepgate_runtime_live_smoke_20260626_1155_UTC/qd_deepgate_pooled_pc3_4x1_prob045/seed_1001/openai_gpt-oss-120b,8,1,1,1,runtime_archive_insertion_pass
