metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.11100931488823668,-0.013475385917397956,-0.10824933369473151
mean_best_fitness,0.2670645637361175,0.2105110374467485,-0.056553526289368966,-0.21175975388950766
valid_ppa_candidate_count,209.0,174.0,-35.0,-0.1674641148325359
ppa_front_unique_netlist_count,12.0,13.0,1.0,0.08333333333333333
unique_motif_signature_count,43.0,30.0,-13.0,-0.3023255813953488
common_audit_occupied_cells,12.0,9.0,-3.0,-0.25
common_audit_qd_score,2.316311854699285,0.8484729129251922,-1.4678389417740927,-0.6336965978031722
functionality_rate,0.7256944444444444,0.6041666666666666,-0.12152777777777779,-0.1674641148325359
synthesis_rate,0.7256944444444444,0.6041666666666666,-0.12152777777777779,-0.1674641148325359
valid_ppa_rate,0.7256944444444444,0.6041666666666666,-0.12152777777777779,-0.1674641148325359
