problem,event_count,t72_live_fixed_cells,t73_fixed_config_cells,t73_global_observed_range_cells,t73_problem_local_quantile_cells,log_edges_unique,state_class_unique,branching_unique,wire_density_unique,dff_density_unique
Prob004_adder_8bit,33,1,1,1,2,2,1,1,2,1
Prob015_multi_pipe_8bit,8,1,1,4,7,7,1,7,7,7
Prob024_fsm,20,1,1,7,7,9,1,9,7,7
Prob037_parallel2serial,19,1,1,3,6,4,1,4,4,4
Prob041_traffic_light,18,1,1,2,14,10,1,12,13,13
Prob045_alu,11,1,1,1,9,10,1,11,10,1
Prob049_signal_generator,34,2,1,1,2,2,1,2,2,2
Prob098_circuit7,23,1,1,1,2,1,1,1,2,2
Prob116_m2014_q3,18,1,2,2,3,2,1,2,3,1
Prob135_m2014_q6b,26,1,1,3,6,4,1,4,3,1
Prob150_review2015_fsmonehot,10,1,3,3,5,2,1,2,5,1
Prob151_review2015_fsm,2,1,1,1,2,2,1,2,2,2
Prob153_gshare,11,1,1,3,9,10,1,10,9,9
