method,problem,hypervolume,hv_auc,valid_ppa_count,pareto_point_count,hv_delta_vs_classic,hv_auc_delta_vs_classic
classic_revolution_8x5,Prob019_sub_64bit,0.44993695574,0.404943260166,8,1,0,0
classic_revolution_8x5,Prob036_edge_detect,0.355889724311,0.249122807018,6,1,0,0
classic_revolution_8x5,Prob045_alu,0.249660863394,0.232724960378,29,2,0,0
pcn_v2_rf_eoh_memory_8x5,Prob019_sub_64bit,0.44993695574,0.404943260166,8,1,0,0
pcn_v2_rf_eoh_memory_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,13,1,0,0.0711779448621
pcn_v2_rf_eoh_memory_8x5,Prob045_alu,0.22066048492,0.20960442263,32,3,-0.0290003784743,-0.0231205377485
pcn_v2_random_eoh_memory_8x5,Prob019_sub_64bit,0.362842268186,0.326556266904,10,1,-0.0870946875537,-0.0783869932616
pcn_v2_random_eoh_memory_8x5,Prob036_edge_detect,0.326093010304,0.0326093010304,7,1,-0.0297967140072,-0.216513505987
pcn_v2_random_eoh_memory_8x5,Prob045_alu,0.241173171693,0.209686874433,34,1,-0.00848769170116,-0.0230380859449
pcn_v2_passive_eoh_archive_8x5,Prob019_sub_64bit,0.44993695574,0.404943260166,9,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob036_edge_detect,0.355889724311,0.32030075188,7,1,0,0.0711779448621
pcn_v2_passive_eoh_archive_8x5,Prob045_alu,0.253281198502,0.224812517248,35,1,0.00362033510743,-0.00791244313022
