method,problem,qd_memory_active,qd_memory_valid_ppa_seen,sampleable_memory_cells,mean_cell_credit,classic_generated,memory_refine_generated,memory_refine_valid_ppa,memory_refine_global_front_adds,memory_refine_local_front_adds
pcn_v2_rf_eoh_memory_8x5,Prob019_sub_64bit,true,41,1,0.265071468937,7,1,1,0,0
pcn_v2_random_eoh_memory_8x5,Prob019_sub_64bit,true,43,9,0.309532043698,7,1,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob019_sub_64bit,false,44,0,0.285911281864,8,0,0,0,0
pcn_v2_rf_eoh_memory_8x5,Prob036_edge_detect,true,38,6,0.289741336598,7,1,1,0,0
pcn_v2_random_eoh_memory_8x5,Prob036_edge_detect,true,26,6,0.306921386719,7,1,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob036_edge_detect,false,25,0,0.28171875,8,0,0,0,0
pcn_v2_rf_eoh_memory_8x5,Prob045_alu,true,36,11,0.353796331882,7,1,1,0,1
pcn_v2_random_eoh_memory_8x5,Prob045_alu,true,37,19,0.382058080037,7,1,1,0,0
pcn_v2_passive_eoh_archive_8x5,Prob045_alu,false,38,0,0.361901103749,8,0,0,0,0
