method_name,seed,problem_id,budget_fraction,candidate_count,valid_ppa_count,valid_ppa_rate,unique_canonical_netlists,canonical_duplicate_count,unique_motif_signatures,occupied_internal_cells,occupied_common_audit_cells,pareto_size,best_fitness
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,0.75,90,36,0.4,11,25,5,22,2,21,0.32968627450980387
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob150_review2015_fsmonehot,1.0,120,52,0.43333333333333335,13,39,6,22,2,30,0.32968627450980387
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.25,30,0,0.0,0,0,0,0,0,0,
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.5,60,5,0.08333333333333333,4,1,4,5,2,1,-0.12617788624500034
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,0.75,90,9,0.1,8,1,6,9,2,2,-0.12617788624500034
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob151_review2015_fsm,1.0,120,12,0.1,11,1,9,12,2,3,-0.12617788624500034
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob153_gshare,0.25,30,10,0.3333333333333333,9,1,8,10,1,3,0.13092220310027677
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob153_gshare,0.5,60,16,0.26666666666666666,14,2,13,14,2,4,0.13092220310027677
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob153_gshare,0.75,90,21,0.23333333333333334,19,2,16,15,2,8,0.13560291914358902
synthesis_trajectory_nod,1003,VerilogEval-Spec-to-RTL/Prob153_gshare,1.0,120,27,0.225,22,5,19,17,2,10,0.13560291914358902
