method_name,seed,problem_id,budget_fraction,replay_key,evaluated_count,valid_ppa_count,keyed_valid_count,suppressed_duplicate_count,online_retained_count,online_pareto_size,online_best_fitness,oracle_retained_count,oracle_pareto_size,oracle_best_fitness,baseline_pareto_size,baseline_best_fitness
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.25,canonical_netlist,30,9,9,3,6,1,0.38154412826809186,6,1,0.38154412826809186,4,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.25,exact_motif_signature,30,9,9,6,3,1,0.38154412826809186,3,1,0.38154412826809186,4,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.5,canonical_netlist,60,36,36,21,15,2,0.38154412826809186,15,2,0.38154412826809186,13,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.5,exact_motif_signature,60,36,36,28,8,1,0.38154412826809186,8,1,0.38154412826809186,13,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.75,canonical_netlist,90,55,55,32,23,2,0.38154412826809186,23,2,0.38154412826809186,18,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,0.75,exact_motif_signature,90,55,55,44,11,1,0.38154412826809186,11,1,0.38154412826809186,18,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,canonical_netlist,120,72,72,40,32,2,0.38154412826809186,32,2,0.38154412826809186,20,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob004_adder_8bit,1.0,exact_motif_signature,120,72,72,58,14,1,0.38154412826809186,14,1,0.38154412826809186,20,0.38154412826809186
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.25,canonical_netlist,30,10,10,0,10,3,0.0722619038380739,10,3,0.0722619038380739,3,0.0722619038380739
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.25,exact_motif_signature,30,10,10,2,8,3,0.0722619038380739,8,3,0.0722619038380739,3,0.0722619038380739
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,canonical_netlist,60,19,19,1,18,7,0.07516895943015156,18,7,0.07516895943015156,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,exact_motif_signature,60,19,19,3,16,7,0.07516895943015156,16,7,0.07516895943015156,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,canonical_netlist,90,29,29,3,26,10,0.07516895943015156,26,10,0.07516895943015156,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,exact_motif_signature,90,29,29,7,22,9,0.07516895943015156,22,9,0.07516895943015156,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,canonical_netlist,120,44,44,3,41,14,0.10149427797627829,41,14,0.10149427797627829,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,exact_motif_signature,120,44,44,12,32,12,0.10149427797627829,32,12,0.10149427797627829,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,canonical_netlist,30,5,5,1,4,1,0.4700708998018976,4,1,0.4700708998018976,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,exact_motif_signature,30,5,5,2,3,1,0.4700708998018976,3,1,0.4700708998018976,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,canonical_netlist,60,11,11,5,6,2,0.4700708998018976,6,2,0.4700708998018976,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,exact_motif_signature,60,11,11,7,4,1,0.4700708998018976,4,1,0.4700708998018976,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,canonical_netlist,90,15,15,7,8,2,0.4700708998018976,8,2,0.4700708998018976,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,exact_motif_signature,90,15,15,10,5,1,0.4700708998018976,5,1,0.4700708998018976,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,canonical_netlist,120,18,18,7,11,1,0.6834970284641851,11,1,0.6834970284641851,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,exact_motif_signature,120,18,18,10,8,1,0.6834970284641851,8,1,0.6834970284641851,1,0.6834970284641851
