method_name,seed,problem_id,budget_fraction,novelty_parent_fraction,quality_floor,quality_floor_value,novelty_space,evaluated_count,valid_ppa_count,eligible_count,selected_count,selected_fraction_of_valid,unique_canonical_netlists,unique_motif_signatures,occupied_common_audit_cells,pareto_size,best_fitness,mean_fitness,baseline_pareto_size,baseline_best_fitness
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,0.0,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,60,19,10,5,0.2631578947368421,4,4,2,4,0.07516895943015156,0.06883531532010927,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,0.1,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,60,19,10,5,0.2631578947368421,4,4,2,4,0.07516895943015156,0.06883531532010927,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,0.25,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,60,19,10,5,0.2631578947368421,4,4,2,5,0.07516895943015156,0.0670279325810394,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.5,0.5,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,60,19,10,5,0.2631578947368421,4,4,2,4,0.07516895943015156,0.05812450505760458,8,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,0.0,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,90,29,15,8,0.27586206896551724,5,4,2,7,0.07516895943015156,0.07121043186137513,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,0.1,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,90,29,15,8,0.27586206896551724,5,4,2,7,0.07516895943015156,0.07121043186137513,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,0.25,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,90,29,15,8,0.27586206896551724,5,4,2,8,0.07516895943015156,0.06686958150091481,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,0.75,0.5,prefix_median_valid_fitness,0.023107098236111234,common_audit_descriptor_vector,90,29,15,8,0.27586206896551724,6,5,2,7,0.07516895943015156,0.06123336088197028,13,0.07516895943015156
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,0.0,prefix_median_valid_fitness,-0.02117451793580703,common_audit_descriptor_vector,120,44,23,11,0.25,8,6,2,10,0.10149427797627829,0.0772467205935308,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,0.1,prefix_median_valid_fitness,-0.02117451793580703,common_audit_descriptor_vector,120,44,23,11,0.25,8,6,2,11,0.10149427797627829,0.07662898007760384,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,0.25,prefix_median_valid_fitness,-0.02117451793580703,common_audit_descriptor_vector,120,44,23,11,0.25,8,6,2,11,0.10149427797627829,0.07408973851319602,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob015_multi_pipe_8bit,1.0,0.5,prefix_median_valid_fitness,-0.02117451793580703,common_audit_descriptor_vector,120,44,23,11,0.25,10,8,2,9,0.10149427797627829,0.06312279429077892,17,0.10149427797627829
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,0.0,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,30,5,3,2,0.4,2,2,1,1,0.4700708998018976,0.319514649150245,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,0.1,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,30,5,3,2,0.4,2,2,1,1,0.4700708998018976,0.319514649150245,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,0.25,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,30,5,3,2,0.4,2,2,1,1,0.4700708998018976,0.319514649150245,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.25,0.5,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,30,5,3,2,0.4,2,2,1,1,0.4700708998018976,0.319514649150245,1,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,0.0,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,60,11,10,3,0.2727272727272727,3,2,1,2,0.4700708998018976,0.3697000660341292,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,0.1,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,60,11,10,3,0.2727272727272727,3,2,1,2,0.4700708998018976,0.3697000660341292,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,0.25,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,60,11,10,3,0.2727272727272727,3,2,1,2,0.4700708998018976,0.3697000660341292,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.5,0.5,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,60,11,10,3,0.2727272727272727,3,2,1,2,0.4700708998018976,0.3697000660341292,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,0.0,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,90,15,14,4,0.26666666666666666,4,2,2,2,0.4700708998018976,0.41881268897925134,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,0.1,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,90,15,14,4,0.26666666666666666,4,2,2,2,0.4700708998018976,0.41881268897925134,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,0.25,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,90,15,14,4,0.26666666666666666,4,2,2,2,0.4700708998018976,0.41881268897925134,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,0.75,0.5,prefix_median_valid_fitness,0.14876238139922837,common_audit_descriptor_vector,90,15,14,4,0.26666666666666666,4,3,2,2,0.4700708998018976,0.34365446773016367,2,0.4700708998018976
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,0.0,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,120,18,10,5,0.2777777777777778,5,3,3,1,0.6834970284641851,0.516980502554478,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,0.1,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,120,18,10,5,0.2777777777777778,5,3,3,1,0.6834970284641851,0.516980502554478,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,0.25,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,120,18,10,5,0.2777777777777778,5,4,4,1,0.6834970284641851,0.47616578041914287,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob024_fsm,1.0,0.5,prefix_median_valid_fitness,0.16895839849859243,common_audit_descriptor_vector,120,18,10,5,0.2777777777777778,5,5,5,1,0.6834970284641851,0.47077051402356374,1,0.6834970284641851
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.25,0.0,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,30,13,10,4,0.3076923076923077,3,1,1,4,-0.0,0.0,12,-0.0
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.25,0.1,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,30,13,10,4,0.3076923076923077,3,1,1,4,-0.0,0.0,12,-0.0
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.25,0.25,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,30,13,10,4,0.3076923076923077,3,1,1,4,-0.0,0.0,12,-0.0
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.25,0.5,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,30,13,10,4,0.3076923076923077,3,1,1,4,-0.0,0.0,12,-0.0
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.5,0.0,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,60,16,13,4,0.25,3,2,2,4,0.00886109067124523,0.0022152726678113075,15,0.00886109067124523
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.5,0.1,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,60,16,13,4,0.25,3,2,2,4,0.00886109067124523,0.0022152726678113075,15,0.00886109067124523
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.5,0.25,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,60,16,13,4,0.25,3,2,2,4,0.00886109067124523,0.0022152726678113075,15,0.00886109067124523
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.5,0.5,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,60,16,13,4,0.25,3,2,2,4,0.00886109067124523,0.0022152726678113075,15,0.00886109067124523
sr_random_relu_pca_qd,1001,RTLLM/Prob037_parallel2serial,0.75,0.0,prefix_median_valid_fitness,0.0,common_audit_descriptor_vector,90,23,14,6,0.2608695652173913,5,3,3,2,0.06325075627503886,0.012018641157714014,2,0.06325075627503886
