backend,benchmark,problem,functionality_rate,synthesis_rate,best_score,runtime_seconds,qd_archive_type,qd_coverage,qd_score,qd_best_quality
classic,RTLLM,Prob045_alu,0.4791666666666667,0.4791666666666667,0.396563801826664,532.7913076877594,,,,
classic,RTLLM,Prob041_traffic_light,0.3333333333333333,0.3333333333333333,0.42479665940450256,611.9757964611053,,,,
classic,RTLLM,Prob015_multi_pipe_8bit,0.3125,0.3125,0.05279453299055512,663.880179643631,,,,
t11_runtime_pca4_graph_qd,RTLLM,Prob045_alu,0.3333333333333333,0.3125,0.3994190157040541,743.8226923942566,grid_quantile,0.0390625,3.8638259412576383,0.3994190157040541
t11_runtime_pca4_graph_qd,RTLLM,Prob041_traffic_light,0.25,0.1875,0.3773674655047204,740.0310914516449,grid_quantile,0.0234375,0.9877735415153713,0.3773674655047204
t11_runtime_pca4_graph_qd,RTLLM,Prob015_multi_pipe_8bit,0.2916666666666667,0.2708333333333333,0.053612899339756596,674.5072810649872,grid_quantile,0.02734375,-0.06510123523579653,0.053612899339756596
