metric,classic,method,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.12039673004059943,-0.004087970765035198,-0.03283914198756031
mean_best_fitness,0.2670645637361175,0.2379581150503086,-0.02910644868580889,-0.10898656219538186
valid_ppa_candidate_count,209.0,198.0,-11.0,-0.05263157894736842
ppa_front_unique_netlist_count,12.0,20.0,8.0,0.6666666666666666
unique_motif_signature_count,43.0,45.0,2.0,0.046511627906976744
common_audit_occupied_cells,12.0,16.0,4.0,0.3333333333333333
common_audit_qd_score,2.316311854699285,1.7144334159537657,-0.6018784387455192,-0.25984343926938885
functionality_rate,0.7256944444444444,0.6875,-0.03819444444444442,-0.05263157894736839
synthesis_rate,0.7256944444444444,0.6875,-0.03819444444444442,-0.05263157894736839
valid_ppa_rate,0.7256944444444444,0.6875,-0.03819444444444442,-0.05263157894736839
