seed_group,cohort,method,method_label,row_count,unique_problem_count,total_generated,syntax_count,functionality_count,valid_ppa_count,mean_functionality_rate,mean_valid_ppa_rate,mean_best_score,mean_global_ppa_hypervolume,mean_hv_auc,total_ppa_front_points,total_reference_beating_count,total_unique_ppa_points,mean_front_nn_distance,mean_front_bbox_volume,mean_active_archive_coverage,mean_active_archive_qd_score,total_active_archive_members,total_active_global_pareto_members,mean_active_qd_score_auc,mean_active_coverage_auc,total_success_parent_requests,total_two_parent_attempts
all,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
all,all,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,13,13,624,595,235,231,0.376603,0.370192,0.268625,0.082056,0.069095,22,35,66,0.134300,0.019720,0.526709,0.604375,54.000000,22.000000,0.374148,0.247863,0.000000,0.000000
all,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
all,RTLLM,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,7,7,336,308,148,145,0.440476,0.431548,0.296274,0.095219,0.071149,10,25,45,0.213076,0.035629,0.580357,0.865050,40.000000,10.000000,0.515084,0.352679,0.000000,0.000000
all,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
all,VerilogEval-Spec-to-RTL,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,6,6,288,287,87,86,0.302083,0.298611,0.229917,0.066700,0.066699,12,10,21,0.042394,0.001159,0.464120,0.300254,14.000000,12.000000,0.209723,0.125579,0.000000,0.000000
1001,all,classic_revolution,Classic,13,13,624,572,266,257,0.426282,0.411859,0.227928,0.092601,0.082020,30,46,87,0.125547,0.075540,,,,,,,,
1001,all,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,13,13,624,595,235,231,0.376603,0.370192,0.268625,0.082056,0.069095,22,35,66,0.134300,0.019720,0.526709,0.604375,54.000000,22.000000,0.374148,0.247863,0.000000,0.000000
1001,RTLLM,classic_revolution,Classic,7,7,336,306,131,122,0.389881,0.363095,0.306821,0.115168,0.095533,19,37,64,0.164367,0.139629,,,,,,,,
1001,RTLLM,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,7,7,336,308,148,145,0.440476,0.431548,0.296274,0.095219,0.071149,10,25,45,0.213076,0.035629,0.580357,0.865050,40.000000,10.000000,0.515084,0.352679,0.000000,0.000000
1001,VerilogEval-Spec-to-RTL,classic_revolution,Classic,6,6,288,266,135,135,0.468750,0.468750,0.135885,0.066272,0.066255,11,9,23,0.080257,0.000770,,,,,,,,
1001,VerilogEval-Spec-to-RTL,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,6,6,288,287,87,86,0.302083,0.298611,0.229917,0.066700,0.066699,12,10,21,0.042394,0.001159,0.464120,0.300254,14.000000,12.000000,0.209723,0.125579,0.000000,0.000000
