left_method,right_method,metric,left_value,right_value,delta,relative_delta
t56,classic,total_generated,624.000000,624.000000,0.000000,0.000000
t56,classic,valid_ppa_count,231.000000,257.000000,-26.000000,-0.101167
t56,classic,mean_global_ppa_hypervolume,0.082056,0.092601,-0.010545,-0.113876
t56,classic,mean_hv_auc,0.069095,0.082020,-0.012925,-0.157584
t56,classic,mean_best_score,0.268625,0.227928,0.040697,0.178552
t56,classic,total_ppa_front_points,22.000000,30.000000,-8.000000,-0.266667
t56,classic,total_unique_ppa_points,66.000000,87.000000,-21.000000,-0.241379
t56,classic,total_reference_beating_count,35.000000,46.000000,-11.000000,-0.239130
t56,t51,total_generated,624.000000,624.000000,0.000000,0.000000
t56,t51,valid_ppa_count,231.000000,266.000000,-35.000000,-0.131579
t56,t51,mean_global_ppa_hypervolume,0.082056,0.089252,-0.007196,-0.080626
t56,t51,mean_hv_auc,0.069095,0.085454,-0.016359,-0.191436
t56,t51,mean_best_score,0.268625,0.293480,-0.024855,-0.084691
t56,t51,total_ppa_front_points,22.000000,21.000000,1.000000,0.047619
t56,t51,total_unique_ppa_points,66.000000,75.000000,-9.000000,-0.120000
t56,t51,total_reference_beating_count,35.000000,43.000000,-8.000000,-0.186047
t56,t52,total_generated,624.000000,624.000000,0.000000,0.000000
t56,t52,valid_ppa_count,231.000000,254.000000,-23.000000,-0.090551
t56,t52,mean_global_ppa_hypervolume,0.082056,0.083502,-0.001446,-0.017317
t56,t52,mean_hv_auc,0.069095,0.055792,0.013303,0.238439
t56,t52,mean_best_score,0.268625,0.242261,0.026364,0.108825
t56,t52,total_ppa_front_points,22.000000,24.000000,-2.000000,-0.083333
t56,t52,total_unique_ppa_points,66.000000,76.000000,-10.000000,-0.131579
t56,t52,total_reference_beating_count,35.000000,41.000000,-6.000000,-0.146341
t56,t53,total_generated,624.000000,624.000000,0.000000,0.000000
t56,t53,valid_ppa_count,231.000000,239.000000,-8.000000,-0.033473
t56,t53,mean_global_ppa_hypervolume,0.082056,0.085793,-0.003737,-0.043558
t56,t53,mean_hv_auc,0.069095,0.071011,-0.001916,-0.026982
t56,t53,mean_best_score,0.268625,0.290435,-0.021810,-0.075094
t56,t53,total_ppa_front_points,22.000000,22.000000,0.000000,0.000000
t56,t53,total_unique_ppa_points,66.000000,71.000000,-5.000000,-0.070423
t56,t53,total_reference_beating_count,35.000000,38.000000,-3.000000,-0.078947
t56,t54,total_generated,624.000000,624.000000,0.000000,0.000000
t56,t54,valid_ppa_count,231.000000,253.000000,-22.000000,-0.086957
t56,t54,mean_global_ppa_hypervolume,0.082056,0.075892,0.006164,0.081221
t56,t54,mean_hv_auc,0.069095,0.062753,0.006342,0.101063
t56,t54,mean_best_score,0.268625,0.263027,0.005598,0.021283
t56,t54,total_ppa_front_points,22.000000,21.000000,1.000000,0.047619
t56,t54,total_unique_ppa_points,66.000000,67.000000,-1.000000,-0.014925
t56,t54,total_reference_beating_count,35.000000,31.000000,4.000000,0.129032
t56,t55,total_generated,624.000000,624.000000,0.000000,0.000000
t56,t55,valid_ppa_count,231.000000,233.000000,-2.000000,-0.008584
t56,t55,mean_global_ppa_hypervolume,0.082056,0.086189,-0.004133,-0.047953
t56,t55,mean_hv_auc,0.069095,0.072307,-0.003212,-0.044422
t56,t55,mean_best_score,0.268625,0.264068,0.004557,0.017257
t56,t55,total_ppa_front_points,22.000000,23.000000,-1.000000,-0.043478
t56,t55,total_unique_ppa_points,66.000000,72.000000,-6.000000,-0.083333
t56,t55,total_reference_beating_count,35.000000,36.000000,-1.000000,-0.027778
