benchmark_source,best_fitness,best_improvements,duplicate_netlist_count,hypervolume,method_name,objective_metrics,pareto_point_count,ppa_front_unique_netlist_count,ppa_grid_coverage,ppa_grid_occupied_cells,ppa_grid_total_cells,problem_id,reference_beating_count,reference_metrics,unique_canonical_netlist_count,unique_motif_signature_count,valid_ppa_candidate_count
RTLLM,0.3647038093317585,"{'area': 0.10338345864661654, 'eff_clk_period': 0.40517241379310337, 'power': 0.5855555555555555}",4,0.02452782459021115,classic_revolution,"['area', 'power', 'eff_clk_period']",1,1,0.078125,5,64,RTLLM/Prob011_multi_16bit,3,"{'area': 1064.0, 'eff_clk_period': 1.16, 'power': 0.18}",12,11,16
RTLLM,0.48228021147642647,"{'area': 0.4524959742351047, 'power': 0.9943446601941748}",31,0.4499369557400372,classic_revolution,"['area', 'power']",3,3,0.125,2,16,RTLLM/Prob019_sub_64bit,6,"{'area': 621.0, 'power': 0.0412}",12,10,43
RTLLM,0.005550298699281149,"{'area': 0.0034772529701535787, 'eff_clk_period': 0.0, 'power': 0.042128603104212896}",23,0.0,classic_revolution,"['area', 'power', 'eff_clk_period']",8,2,0.015625,1,64,RTLLM/Prob048_pe,11,"{'area': 3451.0, 'eff_clk_period': 1.57, 'power': 0.451}",4,4,27
VerilogEval-Spec-to-RTL,0.4231863785854045,"{'area': 0.2735294117647059, 'power': 0.9960297239915075}",27,0.2724434245035594,classic_revolution,"['area', 'power']",5,1,0.125,2,16,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,31,"{'area': 2040.0, 'power': 0.0942}",4,4,31
VerilogEval-Spec-to-RTL,0.28511627906976744,"{'area': 0.0, 'power': 0.8553488372093023}",29,0.0,classic_revolution,"['area', 'power']",1,1,0.0625,1,16,VerilogEval-Spec-to-RTL/Prob030_popcount255,22,"{'area': 1339.0, 'power': 0.215}",19,4,48
VerilogEval-Spec-to-RTL,0.04155040525406675,"{'area': 0.06582768635043562, 'eff_clk_period': 0.0, 'power': 0.05882352941176463}",25,0.0,classic_revolution,"['area', 'power', 'eff_clk_period']",15,4,0.015625,1,64,VerilogEval-Spec-to-RTL/Prob105_rotate100,15,"{'area': 1033.0, 'eff_clk_period': 0.22, 'power': 0.102}",19,10,44
RTLLM,0.15328258385427165,"{'area': 0.05263157894736842, 'eff_clk_period': 0.44827586206896547, 'power': 0.44555555555555554}",9,0.0,landing_smooth_qd_manual_bd,"['area', 'power', 'eff_clk_period']",14,7,0.046875,3,64,RTLLM/Prob011_multi_16bit,0,"{'area': 1064.0, 'eff_clk_period': 1.16, 'power': 0.18}",18,14,27
RTLLM,0.452712179958205,"{'area': 0.36553945249597425, 'power': 0.9925970873786408}",37,0.3628333958694871,landing_smooth_qd_manual_bd,"['area', 'power']",1,1,0.1875,3,16,RTLLM/Prob019_sub_64bit,5,"{'area': 621.0, 'power': 0.0412}",8,6,45
RTLLM,0.006579168080201192,"{'area': 0.0008693132425383947, 'eff_clk_period': 0.0, 'power': 0.04434589800443463}",19,0.0,landing_smooth_qd_manual_bd,"['area', 'power', 'eff_clk_period']",13,2,0.015625,1,64,RTLLM/Prob048_pe,12,"{'area': 3451.0, 'eff_clk_period': 1.57, 'power': 0.451}",5,5,24
VerilogEval-Spec-to-RTL,0.4231863785854045,"{'area': 0.2735294117647059, 'power': 0.9960297239915075}",35,0.2724434245035594,landing_smooth_qd_manual_bd,"['area', 'power']",8,1,0.125,2,16,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,38,"{'area': 2040.0, 'power': 0.0942}",3,3,38
VerilogEval-Spec-to-RTL,0.28511627906976744,"{'area': 0.0, 'power': 0.8553488372093023}",28,0.0,landing_smooth_qd_manual_bd,"['area', 'power']",1,1,0.0625,1,16,VerilogEval-Spec-to-RTL/Prob030_popcount255,23,"{'area': 1339.0, 'power': 0.215}",17,3,45
VerilogEval-Spec-to-RTL,0.04155040525406675,"{'area': 0.06582768635043562, 'eff_clk_period': 0.0, 'power': 0.05882352941176463}",30,0.0,landing_smooth_qd_manual_bd,"['area', 'power', 'eff_clk_period']",24,6,0.015625,1,64,VerilogEval-Spec-to-RTL/Prob105_rotate100,24,"{'area': 1033.0, 'eff_clk_period': 0.22, 'power': 0.102}",10,2,40
RTLLM,0.2966177416721881,"{'area': 0.03289473684210526, 'eff_clk_period': 0.4224137931034482, 'power': 0.47777777777777775}",5,0.0017865245009074406,netlist_motif_occupancy,"['area', 'power', 'eff_clk_period']",10,6,0.0625,4,64,RTLLM/Prob011_multi_16bit,3,"{'area': 1064.0, 'eff_clk_period': 1.16, 'power': 0.18}",17,14,22
RTLLM,0.3454853847797425,"{'area': 0.04669887278582931, 'power': 0.989757281553398}",32,0.04622054938011037,netlist_motif_occupancy,"['area', 'power']",2,1,0.125,2,16,RTLLM/Prob019_sub_64bit,4,"{'area': 621.0, 'power': 0.0412}",8,6,40
RTLLM,0.002637280923532347,"{'area': 0.008982903506230079, 'eff_clk_period': 0.0, 'power': 0.01773835920177385}",17,0.0,netlist_motif_occupancy,"['area', 'power', 'eff_clk_period']",3,2,0.015625,1,64,RTLLM/Prob048_pe,10,"{'area': 3451.0, 'eff_clk_period': 1.57, 'power': 0.451}",5,4,22
VerilogEval-Spec-to-RTL,0.43702052370842176,"{'area': 0.31666666666666665, 'power': 0.9960297239915075}",30,0.3153388909704009,netlist_motif_occupancy,"['area', 'power']",5,2,0.125,2,16,VerilogEval-Spec-to-RTL/Prob021_mux256to1v,34,"{'area': 2040.0, 'power': 0.0942}",4,4,34
VerilogEval-Spec-to-RTL,0.28511627906976744,"{'area': 0.0, 'power': 0.8553488372093023}",24,0.0,netlist_motif_occupancy,"['area', 'power']",1,1,0.0625,1,16,VerilogEval-Spec-to-RTL/Prob030_popcount255,22,"{'area': 1339.0, 'power': 0.215}",14,3,38
VerilogEval-Spec-to-RTL,0.043176166884953404,"{'area': 0.06776379477250725, 'eff_clk_period': 0.0, 'power': 0.061764705882352944}",20,0.0,netlist_motif_occupancy,"['area', 'power', 'eff_clk_period']",1,1,0.015625,1,64,VerilogEval-Spec-to-RTL/Prob105_rotate100,25,"{'area': 1033.0, 'eff_clk_period': 0.22, 'power': 0.102}",16,6,36
