method_key,method,label,mean_hv,mean_hv_auc,mean_best_score,valid_ppa_count,front_points,unique_ppa_points,reference_beating_count,active_archive_members
classic,classic_revolution,Classic,0.092601,0.082020,0.227928,257,30,87,46,
T51,code_thought_front_slot_qd,T51 code-thought front-slot QD,0.089252,0.085454,0.293480,266,21,75,43,67.000000
T56,code_thought_coarse_sr2_t51_control_qd,T56 coarse SR2 T51-control QD,0.082056,0.069095,0.268625,231,22,66,35,54.000000
T57,t51_adaptive_rebin_qd,T57 T51 adaptive-rebin QD,0.075811,0.070421,0.261728,245,23,75,39,71.000000
