metric,classic,simple_yosys_stat_bd,delta,relative_delta
mean_hypervolume,0.12448470080563463,0.12418480994817421,-0.0002998908574604192,-0.002409057944627723
mean_best_fitness,0.2670645637361175,0.251239563872567,-0.01582499986355046,-0.05925533377459582
valid_ppa_candidate_count,209.0,201.0,-8.0,-0.03827751196172249
ppa_front_unique_netlist_count,12.0,16.0,4.0,0.3333333333333333
unique_motif_signature_count,43.0,45.0,2.0,0.046511627906976744
common_audit_occupied_cells,12.0,11.0,-1.0,-0.08333333333333333
common_audit_qd_score,2.316311854699285,2.07786775536995,-0.23844409932933486,-0.10294127660124196
