seed,classic_hv,t83_hv,hv_delta,relative_hv_delta_percent,classic_pareto_points,t83_pareto_points,pareto_point_delta,classic_ref_beating,t83_ref_beating,ref_beating_delta
1001,0.14064478405974706,0.1369410337888557,-0.0037037502708913705,-2.6334074851421345,3.25,2.0,-1.25,8.0,4.5,-3.5
1002,0.15936940200276137,0.12103198484107551,-0.03833741716168586,-24.055694932595397,2.125,2.375,0.25,6.625,4.75,-1.875
1003,0.13253100841854415,0.11998639898252553,-0.012544609436018622,-9.46541461180291,2.875,2.25,-0.625,7.125,5.5,-1.625
