seed,benchmark,problem,classic_hv,t83_hv,hv_delta,classic_pareto_points,t83_pareto_points,pareto_point_delta,classic_ref_beating,t83_ref_beating,ref_beating_delta
1001,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,3.0,-5.0,0.0,0.0,0.0
1001,RTLLM,Prob024_fsm,0.14472943384422896,0.14557397560212695,0.0008445417578979986,2.0,2.0,0.0,3.0,5.0,2.0
1001,RTLLM,Prob041_traffic_light,0.31010021786492376,0.09881481481481481,-0.21128540305010896,2.0,1.0,-1.0,12.0,5.0,-7.0
1001,RTLLM,Prob045_alu,0.25235639266706095,0.24645508377685788,-0.005901308890203072,4.0,1.0,-3.0,34.0,16.0,-18.0
1001,RTLLM,Prob049_signal_generator,0.019198840440895218,0.006834024329126608,-0.012364816111768609,2.0,1.0,-1.0,4.0,1.0,-3.0
1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,6.0,3.0,-3.0
1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.1986188340807175,0.1986188340807175,1.0,2.0,1.0,1.0,3.0,2.0
1001,VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,0.0008087397797404046,0.0004581500463339452,6.0,5.0,-1.0,4.0,3.0,-1.0
1002,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,4.0,3.0,-1.0,0.0,0.0,0.0
1002,RTLLM,Prob024_fsm,0.2652486706287143,0.14494838911479507,-0.12030028151391925,1.0,2.0,1.0,4.0,3.0,-1.0
1002,RTLLM,Prob041_traffic_light,0.3233718228031953,0.22143100944081337,-0.10194081336238195,3.0,3.0,0.0,12.0,14.0,2.0
1002,RTLLM,Prob045_alu,0.26754819633353044,0.19245540705696826,-0.07509278927656218,1.0,2.0,1.0,24.0,11.0,-13.0
1002,RTLLM,Prob049_signal_generator,0.020343142189028045,0.00997131828859078,-0.010371823900437265,3.0,2.0,-1.0,6.0,2.0,-4.0
1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,5.0,4.0,-1.0
1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,2.0,1.0,-1.0,1.0,0.0,-1.0
1002,VerilogEval-Spec-to-RTL,Prob153_gshare,2.0586140161759083e-05,0.0010269568999754157,0.0010063707598136566,2.0,5.0,3.0,1.0,4.0,3.0
1003,RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8.0,3.0,-5.0,0.0,0.0,0.0
1003,RTLLM,Prob024_fsm,0.2652486706287143,0.14588676884579288,-0.11936190178292144,1.0,2.0,1.0,5.0,6.0,1.0
1003,RTLLM,Prob041_traffic_light,0.18504212055192448,0.20420388525780683,0.01916176470588235,5.0,2.0,-3.0,19.0,11.0,-8.0
1003,RTLLM,Prob045_alu,0.1997569051843091,0.20414720283855708,0.004390297654247977,2.0,1.0,-1.0,24.0,18.0,-6.0
1003,RTLLM,Prob049_signal_generator,0.00997131828859078,0.006834024329126608,-0.0031372939594641715,3.0,1.0,-2.0,2.0,1.0,-1.0
1003,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1.0,1.0,0.0,6.0,5.0,-1.0
1003,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1003,VerilogEval-Spec-to-RTL,Prob153_gshare,0.001806254767353167,0.00039651266145961344,-0.0014097421058935538,2.0,7.0,5.0,1.0,3.0,2.0
