method_key,method_family,seed,budget_shape,headline_problem_count,method_covered_count,yield_warning_count,missing_method_coverage_count,diagnostic_problem_count,mean_global_ppa_hv,mean_hv_auc,mean_pareto_point_count,mean_reference_beating_count,mean_valid_ppa_count,mean_passive_archive_coverage,mean_passive_archive_qd_score,mean_passive_archive_qd_auc,mean_passive_archive_coverage_auc,mean_pareto_cell_count,mean_pareto_spread,classic_delta_mean_hv,classic_hv_win_count,classic_hv_loss_count,classic_hv_tie_count,notes
classic_revolution_8x5,classic,1001,8x5,8,8,2,0,0,0.14064478406,0.126034005375,3.25,8,23.875,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,8,
deepgate_pooled_pc3_8x5,encoder,1001,8x5,8,8,2,0,0,0.104042169218,0.0977136272789,1.75,4.5,22.5,0.1171875,1.76659956454,1.25143464057,0.083251953125,2.5,0.0712043460063,-0.036602614842,3,2,3,canonical_netlist_dedup
