benchmark,problem,classic_hv,qd_hv,absolute_delta,classic_pareto_points,qd_pareto_points,classic_ref_beating,qd_ref_beating
RTLLM,Prob015_multi_pipe_8bit,0.0,0.0,0.0,8,3,0,0
RTLLM,Prob024_fsm,0.14472943384422896,0.10741319987488265,-0.0373162339693463,2,1,3,2
RTLLM,Prob041_traffic_light,0.31010021786492376,0.22146586782861294,-0.08863435003631082,2,2,12,8
RTLLM,Prob045_alu,0.25235639266706095,0.1897284447072738,-0.06262794795978716,4,2,34,11
RTLLM,Prob049_signal_generator,0.019198840440895218,0.0123012437924279,-0.006897596648467319,2,1,4,3
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,0.39842279792746116,0.39842279792746116,0.0,1,1,6,5
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,0.0,0.0,0.0,1,1,1,0
VerilogEval-Spec-to-RTL,Prob153_gshare,0.00035058973340645937,8.58344207626505e-05,-0.0002647553126438089,6,4,4,1
