benchmark,problem,classic_valid_ppa_candidates,qd_valid_ppa_candidates,reference_ppa_valid,comparison_status
RTLLM,Prob015_multi_pipe_8bit,17,7,yes,headline_paired
RTLLM,Prob024_fsm,4,5,yes,headline_paired
RTLLM,Prob041_traffic_light,13,16,yes,headline_paired
RTLLM,Prob045_alu,34,11,yes,headline_paired
RTLLM,Prob049_signal_generator,5,3,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,6,5,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,4,3,yes,headline_paired
VerilogEval-Spec-to-RTL,Prob153_gshare,11,8,yes,headline_paired
