problem,circuit_type,classic_mean_hv,s07_mean_hv,v2_mean_hv,delta_s07_minus_classic_hv,delta_s07_minus_v2_hv,classic_mean_auc,s07_mean_auc,delta_s07_minus_classic_auc,s07_hv_win_seeds,classic_hv_win_seeds,hv_tie_seeds,classic_covered_seeds,s07_covered_seeds,v2_covered_seeds,coverage_delta_s07_minus_classic,outcome
Prob036_edge_detect,sequential,0.4636546789196,0.293498779629022,0.355889724311,-0.170155899290578,-0.06239094468197803,0.23874552648300001,0.245186266319516,0.006440739836515996,1,2,2,5,5,5,0,classic_mean_hv_win
Prob041_traffic_light,combinational,0.365607480029,0.304981771968,0.31049005083500003,-0.06062570806099998,-0.005508278867000005,0.2499965577344,0.2497175599128,-0.00027899782159998554,1,4,0,5,5,5,0,classic_mean_hv_win
Prob025_sequence_detector,sequential,0.03753890967248,0.00687094839648,0.00687094839648,-0.030667961275999998,0.0,0.01646842961992,0.001495844875342,-0.014972584744578,0,5,0,5,3,3,-2,classic_mean_hv_win
Prob019_sub_64bit,combinational,0.4331675578068,0.414458812126,0.4318797351594,-0.0187087456808,-0.017420923033399982,0.357211043103,0.22206390725859998,-0.13514713584440002,1,4,0,5,5,5,0,classic_mean_hv_win
Prob045_alu,combinational,0.2582037721266,0.241362348906,0.2340760331166,-0.016841423220600005,0.007286315789400005,0.2181163442538,0.20020160228699999,-0.017914741966800013,3,2,0,5,5,5,0,classic_mean_hv_win
Prob009_div_16bit,combinational,0.713376832849,0.7091032893654,0.7155513942914,-0.004273543483599984,-0.006448104926000009,0.699865461808,0.6958844891568,-0.00398097265120001,0,5,0,5,5,5,0,classic_mean_hv_win
Prob005_adder_bcd,combinational,0.1982104488598,0.198189845475,0.18496718175159998,-2.0603384800005342e-05,0.013222663723400002,0.1942415894042,0.198189845475,0.003948256070799988,0,1,4,5,5,5,0,classic_mean_hv_win
Prob048_pe,sequential,4.5016479858e-08,0.0,0.0,-4.5016479858e-08,0.0,1.35049439574e-08,0.0,-1.35049439574e-08,0,1,4,5,5,5,0,classic_mean_hv_win
Prob001_accu,sequential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob003_adder_32bit,combinational,0.674459752503,0.674459752503,0.674459752503,0.0,0.0,0.674459752503,0.674459752503,0.0,0,0,5,5,5,5,0,mean_hv_tie
Prob004_adder_8bit,combinational,0.151026289181,0.151026289181,0.151026289181,0.0,0.0,0.135923660262,0.1419647118296,0.0060410515675999865,0,0,5,5,5,5,0,mean_hv_tie
Prob007_comparator_3bit,combinational,0.0466534748456,0.0466534748456,0.03499046591114,0.0,0.011663008934459998,0.030324758649640002,0.032657432391920004,0.0023326737422800017,0,0,5,5,5,5,0,mean_hv_tie
Prob010_radix2_div,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob012_multi_8bit,combinational,0.38656854576,0.38656854576,0.38656854576,0.0,0.0,0.3465711485142,0.3484398775884,0.001868729074199993,0,0,5,5,5,5,0,mean_hv_tie
Prob014_multi_pipe_4bit,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob016_fixed_point_adder,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
Prob017_fixed_point_substractor,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,0,0,mean_hv_tie
