source,mechanism,screen,comparator,classic_mean_hv,method_mean_hv,mean_hv_delta,classic_hv_auc,method_hv_auc,hv_auc_delta,classic_valid_ppa,method_valid_ppa,classic_front_points,method_front_points,classic_unique_ppa,method_unique_ppa,key_failure,t18_implication
T57,adaptive_grid_quantile_rebin,13_problem_hard_tuning,classic,0.092601,0.075811,-0.016790,0.082020,0.070421,-0.011599,257,245,30,23,87,75,no_rebin_events_and_loses_front_breadth,archive_boundary_adaptation_is_not_enough
T32,front_preserving_emitter,3_problem_holdout,classic_and_T26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,103,67,3,3,11,9,does_not_preserve_T26_P135_quality_HV,small_emitter_schedule_nudge_is_not_enough
