sample_index,candidate_id,corpus,problem_id,netlist_path,parse_status,cell_count,net_count,directed_edge_count,driven_net_count,sink_net_count,multi_driver_net_count,max_fanout,mean_fanout,fanout_entropy,long_range_edge_share,max_level_delta,max_level,unresolved_cycle_nodes
0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample9.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
1,18718aa9-e7a3-4012-b294-eb8dda550071,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample4.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
2,373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample10.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
3,41b90195-433d-4a3e-9c4a-7b81d2e91243,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample6.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
4,44554646-006f-4ea3-8fac-b456771a1651,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample2.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
5,486a3394-f1d9-4a02-984d-ebfbdd7fa3c1,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob001_accu,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob001_accu/Gen0/Prob001_accu_initial_sample7.syn.v,parsed,110,157,219,146,136,2,23,1.6624203821656052,1.8130052106095937,0.0,1,1,106
6,082595e8-f681-47b4-82e9-aa80f005d4ed,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample4.syn.v,parsed,63,118,89,85,101,0,3,1.228813559322034,1.6354123287846556,0.38,13,13,0
7,1f20afb6-2f3a-4324-be1f-2ae8e334123c,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample6.syn.v,parsed,63,118,89,85,101,0,3,1.228813559322034,1.6354123287846556,0.38,13,13,0
8,323f8192-534b-4be6-9128-19b5527704a3,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample8.syn.v,parsed,26,75,25,42,58,0,1,0.7733333333333333,0.7721551435804814,0.08,18,19,0
9,3abfdc5a-3150-4a7f-9611-86e2683012a7,aspdac2026_release,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,exp/diversity_check/aspdac2026_submission_source/REvolution-aspdac2026-submission/exp/deepseek_clean_results/RTLLM/Prob002_adder_16bit/Gen0/Prob002_adder_16bit_initial_sample1.syn.v,parsed,63,118,89,85,101,0,3,1.228813559322034,1.6354123287846556,0.38,13,13,0
