archive_cell,operator_scale_bin,state_timing_class,count,problem_count,problems,kinds,candidates,min_graph_edges,max_graph_edges,min_dff_refs,max_dff_refs
op_q0__comb,op_q0,comb,1,1,Prob004_adder_8bit,last_synthesized,t70_03_Prob004_adder_8bit_last_synthesized,80,80,0,0
op_q0__low_seq,op_q0,low_seq,4,2,Prob024_fsm;Prob037_parallel2serial,first_raw;first_synthesized;last_synthesized,t70_08_Prob024_fsm_last_synthesized;t70_09_Prob037_parallel2serial_first_raw;t70_10_Prob037_parallel2serial_first_synthesized;t70_11_Prob037_parallel2serial_last_synthesized,75,93,3,7
op_q1__comb,op_q1,comb,2,1,Prob004_adder_8bit,first_raw;first_synthesized,t70_01_Prob004_adder_8bit_first_raw;t70_02_Prob004_adder_8bit_first_synthesized,116,128,0,0
op_q1__low_seq,op_q1,low_seq,3,2,Prob024_fsm;Prob049_signal_generator,first_raw;first_synthesized;last_synthesized,t70_06_Prob024_fsm_first_raw;t70_07_Prob024_fsm_first_synthesized;t70_19_Prob049_signal_generator_last_synthesized,94,167,3,6
op_q2__high_seq,op_q2,high_seq,2,2,Prob015_multi_pipe_8bit;Prob041_traffic_light,first_raw;last_synthesized,t70_05_Prob015_multi_pipe_8bit_last_synthesized;t70_12_Prob041_traffic_light_first_raw,513,1192,21,35
op_q2__low_seq,op_q2,low_seq,1,1,Prob049_signal_generator,first_raw,t70_18_Prob049_signal_generator_first_raw,185,185,6,6
op_q2__mid_seq,op_q2,mid_seq,2,1,Prob041_traffic_light,first_synthesized;last_synthesized,t70_13_Prob041_traffic_light_first_synthesized;t70_14_Prob041_traffic_light_last_synthesized,301,390,10,10
op_q3__comb,op_q3,comb,3,1,Prob045_alu,first_raw;first_synthesized;last_synthesized,t70_15_Prob045_alu_first_raw;t70_16_Prob045_alu_first_synthesized;t70_17_Prob045_alu_last_synthesized,3775,4097,0,0
op_q3__high_seq,op_q3,high_seq,1,1,Prob015_multi_pipe_8bit,first_raw,t70_04_Prob015_multi_pipe_8bit_first_raw,1355,1355,51,51
