feature,min,median,max,unique_values,meaning
masterrtl_graph_edges,75.0,167.0,4097.0,17,MasterRTL SOG edge count; operator/control/dataflow scale.
masterrtl_node_dict,70.0,176.0,4098.0,19,MasterRTL parsed node dictionary size.
rtltimer_dff_refs,0.0,6.0,51.0,9,RTL-Timer BOG DFF reference count; state/timing morphology.
graph_branching,2.0,2.238095,2.386047,17,MasterRTL edges divided by graph keys.
wire_pressure,0.12931,0.153584,0.186528,18,RTL-Timer wires divided by cleaned BOG lines.
timing_state_density,0.0,0.090909,0.368421,13,DFF references divided by wires.
assign_density,0.0,0.003968,0.022556,17,Assignments divided by cleaned BOG lines.
