common_audit_occupied_cells,common_audit_qd_score,covered_problems,duplicate_netlist_count,fitness_losses,fitness_ties,fitness_wins,hv_losses,hv_ties,hv_wins,llm_api_calls,mean_best_fitness,mean_hypervolume,mean_ppa_grid_coverage,method_name,ppa_front_unique_netlist_count,ppa_grid_occupied_cells,problem_count,runtime_seconds,unique_canonical_netlist_count,unique_motif_signature_count,valid_ppa_candidate_count
12,2.316311854699285,6,139,0,6,0,0,6,0,576,0.2670645637361175,0.12448470080563463,0.0703125,classic_revolution,12,12,6,2472.418243408203,70,43,209
9,1.8525500628421014,6,158,1,5,0,2,4,0,576,0.2270711658003194,0.10587947006217442,0.07552083333333333,landing_smooth_qd_manual_bd,18,11,6,2634.4162414073944,61,33,219
11,-2.0643056970490226,6,133,1,5,0,1,3,2,576,0.25108779929753894,0.12082656880598985,0.078125,synthesis_trajectory_nod,13,12,6,2732.176817893982,72,52,205
