backend,problem_count,final_front_count,evicted_final_front_count,evicted_final_front_rate,not_topk_at_birth_count,not_topk_at_birth_rate
classic_revolution_8x5,8,54,14,0.259259,6,0.111111
rf_deepgate_hybrid_delayed_8x5,8,81,55,0.679012,36,0.444444
