backend,benchmark,problem,final_front_count,topk_final_front_count,evicted_final_front_count,evicted_final_front_rate,not_topk_at_birth_count,not_topk_at_birth_rate
classic_revolution_8x5,RTLLM,Prob015_multi_pipe_8bit,14,8,6,0.428571,3,0.214286
classic_revolution_8x5,RTLLM,Prob024_fsm,4,4,0,0.000000,0,0.000000
classic_revolution_8x5,RTLLM,Prob041_traffic_light,8,6,2,0.250000,0,0.000000
classic_revolution_8x5,RTLLM,Prob045_alu,4,3,1,0.250000,1,0.250000
classic_revolution_8x5,RTLLM,Prob049_signal_generator,4,4,0,0.000000,0,0.000000
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,12,8,4,0.333333,2,0.166667
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,2,0,0.000000,0,0.000000
classic_revolution_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,6,5,1,0.166667,0,0.000000
rf_deepgate_hybrid_delayed_8x5,RTLLM,Prob015_multi_pipe_8bit,3,3,0,0.000000,0,0.000000
rf_deepgate_hybrid_delayed_8x5,RTLLM,Prob024_fsm,5,0,5,1.000000,3,0.600000
rf_deepgate_hybrid_delayed_8x5,RTLLM,Prob041_traffic_light,3,3,0,0.000000,0,0.000000
rf_deepgate_hybrid_delayed_8x5,RTLLM,Prob045_alu,2,2,0,0.000000,0,0.000000
rf_deepgate_hybrid_delayed_8x5,RTLLM,Prob049_signal_generator,42,8,34,0.809524,26,0.619048
rf_deepgate_hybrid_delayed_8x5,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,24,8,16,0.666667,7,0.291667
rf_deepgate_hybrid_delayed_8x5,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,1,1,0,0.000000,0,0.000000
rf_deepgate_hybrid_delayed_8x5,VerilogEval-Spec-to-RTL,Prob153_gshare,1,1,0,0.000000,0,0.000000
