arm,method,shape,seed,status,problems_success,total_problems,samples_per_problem,wall_seconds,peak_busy_workers,run_root,summary_results,scheduler_telemetry,checked_at_utc
classic_revolution_12x3,classic_revolution,12x3,1001,complete,8,8,48,1250.64,18,exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live,classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/20260624_043844_revolution_summary_results.txt,classic_revolution_12x3/seed_1001/openai_gpt-oss-120b/20260624_043844_revolution_scheduler_telemetry.json,2026-06-24T05:02:00Z
shape_density_front_pressure_qd_12x3,shape_density_front_pressure_qd,12x3,1001,complete,8,8,48,1217.14,18,exp/useful_bd_push/t79_budget_shape_ablation_20260624_043841_UTC/live,shape_density_front_pressure_qd_12x3/seed_1001/openai_gpt-oss-120b/20260624_050214_revolution_summary_results.txt,shape_density_front_pressure_qd_12x3/seed_1001/openai_gpt-oss-120b/20260624_050214_revolution_scheduler_telemetry.json,2026-06-24T05:24:00Z
