benchmark,problem,stratum,classic_valid_ppa_count,ppa_variance,pareto_size,duplicate_rate,exclusion_reason
RTLLM,Prob004_adder_8bit,arithmetic_datapath,245,0.1677473242903386,249,0.8031634446397188,too_easy_high_prior_pareto_size_control_only
RTLLM,Prob037_parallel2serial,bit_vector,86,0.11403757061497771,5,0.7074688796680497,bit_vector_candidate_deferred_to_stress_slice
VerilogEval-Spec-to-RTL,Prob098_circuit7,control_sequential,225,0.012647613199280344,359,0.9626373626373627,very_high_duplicate_rate_appendix_only
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,control_sequential,166,0.2763661100054004,2,0.9388888888888889,holdout_control_deferred
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,control_sequential,51,0.18509930194247015,21,0.11627906976744184,t78_empty_archive_primary_exclusion
