split,corpus,descriptor_family,method,seed,problem_id,representation,novelty_parent_fraction,quality_floor_value,valid_ppa_count,selected_count,valid_ppa_coverage_delta,unique_canonical_netlists,unique_motif_signatures,unique_style_clusters,pareto_size,hypervolume,best_fitness,mean_fitness
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,implementation_z,0.0,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.613607380227084
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,implementation_z,0.1,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.6070312104920954
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,implementation_z,0.25,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.596390602988453
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,implementation_z,0.5,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.5747329641915403
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae8,0.0,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.613607380227084
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae8,0.1,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.5993804633788062
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae8,0.25,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.5910047349282987
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae8,0.5,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.5753309708860607
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae16,0.0,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.613607380227084
holdout,aspdac2026_release,lexical_structural_posthoc,classic_revolution,0,aspdac2026/deepseek_clean_results/RTLLM/Prob002_adder_16bit,rich_ae16,0.1,0.34706660204929374,181,46,0.0,0,0,3,23,0.2592661312655774,0.6273615342010523,0.5983025974377807
