method_key,family,benchmark_stage,operator_set,pcn_memory,cell_mode,max_elites_per_cell,comparison_role,command_path
classic_revolution_8x5,classic,core,classic,no,none,0,baseline,commands/methods/classic_revolution_8x5.sh
classic_no_cf_8x5,classic_ablation,core,one_parent,no,none,0,cf_ablation_control,commands/methods/classic_no_cf_8x5.sh
pcn_v3_no_cf_memory_8x5,pcn_memory,core,one_parent,yes,elite_pareto_slot,2,current_pcn_behavior,commands/methods/pcn_v3_no_cf_memory_8x5.sh
pcn_v3_cf_restored_memory_8x5,pcn_memory,core,classic,yes,elite_pareto_slot,2,clean_pcn_claim,commands/methods/pcn_v3_cf_restored_memory_8x5.sh
pcn_v3_cf_restored_elite3_8x5,pcn_elite_variant,elite,classic,yes,elite_pareto_slot,3,elite_count_ablation,commands/methods/pcn_v3_cf_restored_elite3_8x5.sh
pcn_v3_cf_restored_pareto3_8x5,pcn_elite_variant,elite,classic,yes,pareto_front,3,local_pareto_cell_ablation,commands/methods/pcn_v3_cf_restored_pareto3_8x5.sh
