method_key,candidate_count,initial_count,single_thought_count,eoh_strategy_count,other_strategy_count,status
classic_revolution_8x5,191,20,0,171,0,pass
graph_testability_3d,161,19,0,124,18,pass
random_hash_3d,143,34,0,84,25,pass
size_control_3d,132,18,0,99,15,pass
smooth_qd_v2_8x5,196,30,0,166,0,pass
