problem_id,candidate_count,syntax_count,functionality_count,valid_ppa_count,valid_ppa_rate,best_fitness,hypervolume,pareto_count,style_cluster_count,front_style_cluster_count,unique_netlist_count,unique_motif_count,hv_per_valid_ppa,front_per_valid_ppa,motifs_per_valid_ppa
RTLLM/Prob037_parallel2serial,205,11,1,1,0.004878048780487805,-0.0,0.0,1,1,1,1,1,0.0,1.0,1.0
RTLLM/Prob038_pulse_detect,208,94,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob039_serial2parallel,208,20,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob040_synchronizer,210,23,23,23,0.10952380952380952,0.0,0.027777777777777766,23,1,1,12,3,0.0012077294685990333,1.0,0.13043478260869565
RTLLM/Prob041_traffic_light,202,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob042_width_8to16,204,23,22,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob043_RAM,209,71,70,70,0.3349282296650718,0.44449010410240736,0.09969244242165706,38,1,1,19,9,0.0014241777488808152,0.5428571428571428,0.12857142857142856
RTLLM/Prob044_ROM,210,166,75,68,0.3238095238095238,-0.0,0.0,52,4,3,4,2,0.0,0.7647058823529411,0.029411764705882353
RTLLM/Prob045_alu,203,0,0,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob046_clkgenerator,210,167,3,0,0.0,,0.0,0,0,0,0,0,0.0,0.0,0.0
RTLLM/Prob047_instr_reg,210,113,86,86,0.4095238095238095,0.05684754521963826,0.0,1,2,1,9,6,0.0,0.011627906976744186,0.06976744186046512
RTLLM/Prob048_pe,210,145,94,94,0.44761904761904764,0.12343122086394455,0.0,12,1,1,10,10,0.0,0.1276595744680851,0.10638297872340426
RTLLM/Prob049_signal_generator,209,109,72,72,0.3444976076555024,0.26025712884096003,0.020152425231005903,23,2,1,12,6,0.000279894794875082,0.3194444444444444,0.08333333333333333
RTLLM/Prob050_square_wave,210,141,130,130,0.6190476190476191,0.2811531090168861,0.07897512297056049,8,1,1,60,45,0.0006075009459273884,0.06153846153846154,0.34615384615384615
