backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_revolution,ALL,13,13,0.09260076003299592,2.3076923076923075,3.5384615384615383,8
classic_revolution,RTLLM,7,7,0.11516802053590926,2.7142857142857144,5.285714285714286,4
classic_revolution,VerilogEval-Spec-to-RTL,6,6,0.06627228944626372,1.8333333333333333,1.5,4
code_thought_front_slot_qd,ALL,13,13,0.08925168962852742,1.6153846153846154,3.3076923076923075,1
code_thought_front_slot_qd,RTLLM,7,7,0.10866246684712774,1.4285714285714286,4.571428571428571,1
code_thought_front_slot_qd,VerilogEval-Spec-to-RTL,6,6,0.06660578287349371,1.8333333333333333,1.8333333333333333,0
rtl_native_front_guarded_parent_qd,ALL,13,13,0.08129329276753378,1.5384615384615385,3.6923076923076925,0
rtl_native_front_guarded_parent_qd,RTLLM,7,7,0.09380980853774337,1.7142857142857142,5.142857142857143,0
rtl_native_front_guarded_parent_qd,VerilogEval-Spec-to-RTL,6,6,0.0666906910356226,1.3333333333333333,2.0,0
rtl_native_seeded_thought_qd,ALL,13,12,0.09174146790596104,1.3846153846153846,3.1538461538461537,2
rtl_native_seeded_thought_qd,RTLLM,7,7,0.11346391041899055,1.7142857142857142,5.285714285714286,2
rtl_native_seeded_thought_qd,VerilogEval-Spec-to-RTL,6,5,0.0663986183074266,1.0,0.6666666666666666,0
shape_density_front_pressure_qd,ALL,13,13,0.08999747704222821,1.6153846153846154,3.076923076923077,1
shape_density_front_pressure_qd,RTLLM,7,7,0.10978369053327089,2.0,4.0,0
shape_density_front_pressure_qd,VerilogEval-Spec-to-RTL,6,6,0.06691356130267843,1.1666666666666667,2.0,1
shape_density_front_slot_hybrid_qd,ALL,13,13,0.0851926236991555,1.6153846153846154,3.1538461538461537,1
shape_density_front_slot_hybrid_qd,RTLLM,7,7,0.10125060163185406,1.8571428571428572,4.571428571428571,0
shape_density_front_slot_hybrid_qd,VerilogEval-Spec-to-RTL,6,6,0.06645831611100719,1.3333333333333333,1.5,1
source_aligned_rtl_cell_qd,ALL,13,4,2.516144142938404e-05,0.8461538461538461,0.07692307692307693,0
source_aligned_rtl_cell_qd,RTLLM,7,1,0.0,0.42857142857142855,0.0,0
source_aligned_rtl_cell_qd,VerilogEval-Spec-to-RTL,6,3,5.4516456430332085e-05,1.3333333333333333,0.16666666666666666,0
source_aligned_shape_density_qd,ALL,13,13,0.08902230817157888,1.4615384615384615,3.6923076923076925,0
source_aligned_shape_density_qd,RTLLM,7,7,0.1083615471668062,1.5714285714285714,5.571428571428571,0
source_aligned_shape_density_qd,VerilogEval-Spec-to-RTL,6,6,0.06645986267714706,1.3333333333333333,1.5,0
