backend,benchmark,problem_count,pareto_valid_problem_count,mean_hypervolume,mean_pareto_point_count,mean_reference_beating_count,hypervolume_win_count
classic_s1001,ALL,8,8,0.14064478405974706,3.25,8.0,2
classic_s1001,RTLLM,5,5,0.1452769769634218,3.6,10.6,1
classic_s1001,VerilogEval-Spec-to-RTL,3,3,0.13292446255362253,2.6666666666666665,3.6666666666666665,1
classic_s1002,ALL,8,8,0.15936940200276137,2.125,6.625,3
classic_s1002,RTLLM,5,5,0.17530236639089364,2.4,9.2,3
classic_s1002,VerilogEval-Spec-to-RTL,3,3,0.1328144613558743,1.6666666666666667,2.3333333333333335,0
classic_s1003,ALL,8,8,0.13253100841854415,2.875,7.125,2
classic_s1003,RTLLM,5,5,0.13200380293070774,3.8,10.0,1
classic_s1003,VerilogEval-Spec-to-RTL,3,3,0.1334096842316048,1.3333333333333333,2.3333333333333335,1
t83_s1001,ALL,8,8,0.1369410337888557,2.0,4.5,1
t83_s1001,RTLLM,5,5,0.09953557970458525,1.6,5.4,0
t83_s1001,VerilogEval-Spec-to-RTL,3,3,0.19928345726263966,2.6666666666666665,3.0,1
t83_s1002,ALL,8,8,0.12103198484107551,2.375,4.75,0
t83_s1002,RTLLM,5,5,0.1137612247802335,2.4,6.0,0
t83_s1002,VerilogEval-Spec-to-RTL,3,3,0.13314991827581218,2.3333333333333335,2.6666666666666665,0
t83_s1003,ALL,8,8,0.11998639898252553,2.25,5.5,0
t83_s1003,RTLLM,5,5,0.1122143762542567,1.8,7.2,0
t83_s1003,VerilogEval-Spec-to-RTL,3,3,0.13293977019630693,3.0,2.6666666666666665,0
