backend,benchmark,problem,objective_count,candidate_count,pareto_point_count,hypervolume,reference_beating_count,best_area_improvement,best_power_improvement,best_period_improvement,problem_dir
t83_s1003,RTLLM,Prob049_signal_generator,3,1,1,0.006834024329126608,1,0.1276595744680851,0.46038543897216266,0.11627906976744183,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1003/openai_gpt-oss-120b/RTLLM/Prob049_signal_generator
classic_s1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,6,1,0.39842279792746116,6,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
t83_s1001,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,3,1,0.39842279792746116,3,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_structural_delayed_20260626_052350_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
classic_s1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,5,1,0.39842279792746116,5,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
t83_s1002,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,4,1,0.39842279792746116,4,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
classic_s1003,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,6,1,0.39842279792746116,6,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
t83_s1003,VerilogEval-Spec-to-RTL,Prob116_m2014_q3,2,5,1,0.39842279792746116,5,0.4,0.9960569948186528,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob116_m2014_q3
classic_s1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,4,1,0.0,1,0.0,0.9931390134529148,0.0,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
t83_s1001,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,5,2,0.1986188340807175,3,0.2,0.9931390134529148,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_structural_delayed_20260626_052350_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
classic_s1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,5,2,0.0,1,0.0,0.9924215246636772,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
t83_s1002,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,2,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
classic_s1003,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,3,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
t83_s1003,VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,2,2,1,0.0,0,-0.2,0.9908520179372198,0.0,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob135_m2014_q6b
classic_s1001,VerilogEval-Spec-to-RTL,Prob153_gshare,3,11,6,0.00035058973340645937,4,0.08991735537190082,0.3592677345537757,0.11999999999999995,/workspace/exp/useful_bd_push/prelim_encoder_config_screen_20260625_134902_UTC/live/classic_revolution_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
t83_s1001,VerilogEval-Spec-to-RTL,Prob153_gshare,3,10,5,0.0008087397797404046,3,0.10479338842975207,0.3524027459954234,0.06666666666666672,/workspace/exp/useful_bd_push/prelim_rf_leafid_structural_delayed_20260626_052350_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1001/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
classic_s1002,VerilogEval-Spec-to-RTL,Prob153_gshare,3,9,2,2.0586140161759083e-05,1,0.05190082644628099,0.029748283752860438,0.05333333333333338,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
t83_s1002,VerilogEval-Spec-to-RTL,Prob153_gshare,3,16,5,0.0010269568999754157,4,0.07966942148760331,0.3272311212814646,0.06666666666666672,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1002/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
classic_s1003,VerilogEval-Spec-to-RTL,Prob153_gshare,3,13,2,0.001806254767353167,1,0.08396694214876033,0.33867276887871856,0.06666666666666672,/workspace/exp/useful_bd_push/prelim_aux_archive_seed_replication_20260625_232854_UTC/live/classic_revolution_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
t83_s1003,VerilogEval-Spec-to-RTL,Prob153_gshare,3,19,7,0.00039651266145961344,3,0.08396694214876033,0.3318077803203662,0.10666666666666662,/workspace/exp/useful_bd_push/prelim_rf_leafid_seed_robustness_20260626_UTC/live/masterrtl_rf_leafid_structural_delayed_8x5/seed_1003/openai_gpt-oss-120b/VerilogEval-Spec-to-RTL/Prob153_gshare
