left_method,right_method,metric,left_value,right_value,delta,relative_delta
t54,classic,total_generated,624.000000,624.000000,0.000000,0.000000
t54,classic,valid_ppa_count,253.000000,257.000000,-4.000000,-0.015564
t54,classic,mean_global_ppa_hypervolume,0.075892,0.092601,-0.016709,-0.180441
t54,classic,mean_hv_auc,0.062753,0.082020,-0.019267,-0.234906
t54,classic,mean_best_score,0.263027,0.227928,0.035099,0.153992
t54,classic,total_ppa_front_points,21.000000,30.000000,-9.000000,-0.300000
t54,classic,total_unique_ppa_points,67.000000,87.000000,-20.000000,-0.229885
t54,classic,total_reference_beating_count,31.000000,46.000000,-15.000000,-0.326087
t54,t51,total_generated,624.000000,624.000000,0.000000,0.000000
t54,t51,valid_ppa_count,253.000000,266.000000,-13.000000,-0.048872
t54,t51,mean_global_ppa_hypervolume,0.075892,0.089252,-0.013360,-0.149689
t54,t51,mean_hv_auc,0.062753,0.085454,-0.022701,-0.265652
t54,t51,mean_best_score,0.263027,0.293480,-0.030453,-0.103765
t54,t51,total_ppa_front_points,21.000000,21.000000,0.000000,0.000000
t54,t51,total_unique_ppa_points,67.000000,75.000000,-8.000000,-0.106667
t54,t51,total_reference_beating_count,31.000000,43.000000,-12.000000,-0.279070
t54,t52,total_generated,624.000000,624.000000,0.000000,0.000000
t54,t52,valid_ppa_count,253.000000,254.000000,-1.000000,-0.003937
t54,t52,mean_global_ppa_hypervolume,0.075892,0.083502,-0.007610,-0.091136
t54,t52,mean_hv_auc,0.062753,0.055792,0.006961,0.124767
t54,t52,mean_best_score,0.263027,0.242261,0.020766,0.085717
t54,t52,total_ppa_front_points,21.000000,24.000000,-3.000000,-0.125000
t54,t52,total_unique_ppa_points,67.000000,76.000000,-9.000000,-0.118421
t54,t52,total_reference_beating_count,31.000000,41.000000,-10.000000,-0.243902
t54,t53,total_generated,624.000000,624.000000,0.000000,0.000000
t54,t53,valid_ppa_count,253.000000,239.000000,14.000000,0.058577
t54,t53,mean_global_ppa_hypervolume,0.075892,0.085793,-0.009901,-0.115406
t54,t53,mean_hv_auc,0.062753,0.071011,-0.008258,-0.116292
t54,t53,mean_best_score,0.263027,0.290435,-0.027408,-0.094369
t54,t53,total_ppa_front_points,21.000000,22.000000,-1.000000,-0.045455
t54,t53,total_unique_ppa_points,67.000000,71.000000,-4.000000,-0.056338
t54,t53,total_reference_beating_count,31.000000,38.000000,-7.000000,-0.184211
