benchmark,problem,archive_generations,first_occupied_generation,first_replacement_generation,last_new_filled_generation,last_replaced_generation,active_gen2_or_later,final_occupied_cells,final_archive_members,final_coverage,final_qd_score,final_best_quality,total_new_filled_cells,total_replaced_cells
RTLLM,Prob004_adder_8bit,4,1,,,,False,3,3,0.25,1.1446323848042756,0.38154412826809186,0,0
RTLLM,Prob015_multi_pipe_8bit,4,0,3,2,3,True,8,10,0.125,-0.29558837495560963,0.07168927650369183,8,2
RTLLM,Prob024_fsm,4,1,,2,,True,6,7,0.16666666666666666,2.0231341883015324,0.5002335522886039,4,0
RTLLM,Prob037_parallel2serial,4,0,,3,,True,4,5,0.08333333333333333,0.0,-0.0,4,0
RTLLM,Prob041_traffic_light,4,1,2,3,2,True,10,11,0.15625,1.810260227547809,0.4077420721374969,6,1
RTLLM,Prob045_alu,4,0,2,3,3,True,9,13,0.5625,3.474826401209015,0.4085823641500756,9,7
RTLLM,Prob049_signal_generator,4,0,,1,,False,4,4,0.14814814814814814,0.9390987776102527,0.23477469440256318,4,0
VerilogEval-Spec-to-RTL,Prob098_circuit7,4,1,,,,False,1,2,0.25,0.01200564971751411,0.01200564971751411,0,0
VerilogEval-Spec-to-RTL,Prob116_m2014_q3,4,0,,3,,True,5,5,0.3125,2.0532107081174438,0.46535233160621764,5,0
VerilogEval-Spec-to-RTL,Prob135_m2014_q6b,4,0,3,0,3,True,3,4,0.3333333333333333,0.7233781763826608,0.2636173393124066,3,1
VerilogEval-Spec-to-RTL,Prob150_review2015_fsmonehot,4,1,,3,,True,5,6,0.4166666666666667,1.3126470588235293,0.32968627450980387,3,0
VerilogEval-Spec-to-RTL,Prob151_review2015_fsm,4,,,,,False,0,0,0.0,0.0,,0,0
VerilogEval-Spec-to-RTL,Prob153_gshare,4,1,3,3,3,True,9,11,0.140625,0.20141225023272039,0.1734492417413158,6,1
