method,method_label,source_run_root,mode
classic_revolution,T46 Classic,exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC,classic_revolution/seed_1001/openai_gpt-oss-120b
t11_runtime_pca4_graph_qd,T46 T11 PCA4,exp/useful_bd_push/t46_t11_runtime_pca4_graph_20260622_182358_UTC,t11_runtime_pca4_graph_qd/seed_1001/openai_gpt-oss-120b
t11_runtime_top4_graph_qd,T45 T11 top-4,exp/useful_bd_push/t45_t11_runtime_top4_graph_20260622_172949_UTC,t11_runtime_top4_graph_qd/seed_1001/openai_gpt-oss-120b
t11_runtime_top8_graph_qd,T44 T11 top-8,exp/useful_bd_push/t44_t11_runtime_graph_bridge_20260622_114838_UTC,t11_runtime_top8_graph_qd/seed_1001/openai_gpt-oss-120b
t39_sparse_warmup_elite_slot_qd,T39 one-slot,exp/useful_bd_push/t39_sparse_yield_warmup_qd_20260622_062937_UTC,sparse_warmup_elite_slot_qd/seed_1001/openai_gpt-oss-120b
