sample_index,candidate_id,nearest_candidate_id,nearest_cosine,same_problem,same_corpus,same_canonical_netlist,same_motif_signature
0,0da4814c-1761-45a2-b5fe-a8c7b91f8285,18718aa9-e7a3-4012-b294-eb8dda550071,0.9927608966827393,True,True,False,False
1,18718aa9-e7a3-4012-b294-eb8dda550071,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.9927608966827393,True,True,False,False
2,373fd82a-98f9-4274-8c59-1e02550e0bfb,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.9831638932228088,True,True,False,False
3,41b90195-433d-4a3e-9c4a-7b81d2e91243,373fd82a-98f9-4274-8c59-1e02550e0bfb,0.9761643409729004,True,True,False,False
4,44554646-006f-4ea3-8fac-b456771a1651,0da4814c-1761-45a2-b5fe-a8c7b91f8285,0.9675561189651489,True,True,False,False
5,486a3394-f1d9-4a02-984d-ebfbdd7fa3c1,41b90195-433d-4a3e-9c4a-7b81d2e91243,0.9718160629272461,True,True,False,False
6,082595e8-f681-47b4-82e9-aa80f005d4ed,5caae1de-2020-485f-b97b-307f47b93805,0.9981734752655029,True,True,False,False
7,1f20afb6-2f3a-4324-be1f-2ae8e334123c,4b3a3629-2df3-4566-89f5-8d1ab7e25499,0.9943747520446777,True,True,False,False
8,323f8192-534b-4be6-9128-19b5527704a3,3abfdc5a-3150-4a7f-9611-86e2683012a7,0.9869494438171387,True,True,False,False
9,3abfdc5a-3150-4a7f-9611-86e2683012a7,5caae1de-2020-485f-b97b-307f47b93805,0.9911462664604187,True,True,False,False
10,4b3a3629-2df3-4566-89f5-8d1ab7e25499,082595e8-f681-47b4-82e9-aa80f005d4ed,0.995898425579071,True,True,False,False
11,5caae1de-2020-485f-b97b-307f47b93805,082595e8-f681-47b4-82e9-aa80f005d4ed,0.9981734752655029,True,True,False,False
12,230f52a5-d871-4989-8151-7ac8fab10979,52c6fa40-248f-4006-a675-014c29d2480e,0.9561179876327515,True,True,False,False
