candidate_id,corpus,benchmark,problem,variant,cosine_to_raw
d68314ae-23e8-464f-8760-77c18a310bf3,rtllm_gen20,RTLLM,Prob001_accu,no_comments,0.865034
d68314ae-23e8-464f-8760-77c18a310bf3,rtllm_gen20,RTLLM,Prob001_accu,normalized_ids,0.512646
5aa56c67-25dc-4d2d-b61f-6be20024fbf7,rtllm_gen20,RTLLM,Prob001_accu,no_comments,0.858322
5aa56c67-25dc-4d2d-b61f-6be20024fbf7,rtllm_gen20,RTLLM,Prob001_accu,normalized_ids,0.549683
d8913b62-8c8d-4123-9434-66d447c2c35f,rtllm_gen20,RTLLM,Prob001_accu,no_comments,0.830558
d8913b62-8c8d-4123-9434-66d447c2c35f,rtllm_gen20,RTLLM,Prob001_accu,normalized_ids,0.520458
682fa792-c8a4-4ca0-a9fa-70c1b0fa883a,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,no_comments,0.972639
682fa792-c8a4-4ca0-a9fa-70c1b0fa883a,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,normalized_ids,0.534333
52d88106-fa05-4a80-86e0-c32de165458c,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,no_comments,0.992163
52d88106-fa05-4a80-86e0-c32de165458c,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,normalized_ids,0.585621
d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,no_comments,0.975628
d8ac4d9c-41bb-445c-8ef8-83e2ae4a3d32,auto_bd_standard_results,RTLLM,Prob004_adder_8bit,normalized_ids,0.537774
4c5ed487-62f2-49f7-9344-7238fab7035b,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,no_comments,0.873244
4c5ed487-62f2-49f7-9344-7238fab7035b,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,normalized_ids,0.643770
40d47b53-7638-4d5d-95a5-a9ca73a32808,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,no_comments,0.980910
40d47b53-7638-4d5d-95a5-a9ca73a32808,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,normalized_ids,0.734539
00c7ec83-219e-46f7-b227-ea81e5652553,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,no_comments,0.979597
00c7ec83-219e-46f7-b227-ea81e5652553,auto_bd_standard_results,VerilogEval-Spec-to-RTL,Prob098_circuit7,normalized_ids,0.605306
dc3822c5-88fc-4cb7-a5dc-174a4b777322,aspdac2026_release,RTLLM,Prob001_accu,no_comments,0.912002
dc3822c5-88fc-4cb7-a5dc-174a4b777322,aspdac2026_release,RTLLM,Prob001_accu,normalized_ids,0.564833
373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,RTLLM,Prob001_accu,no_comments,0.915268
373fd82a-98f9-4274-8c59-1e02550e0bfb,aspdac2026_release,RTLLM,Prob001_accu,normalized_ids,0.559485
44554646-006f-4ea3-8fac-b456771a1651,aspdac2026_release,RTLLM,Prob001_accu,no_comments,0.865827
44554646-006f-4ea3-8fac-b456771a1651,aspdac2026_release,RTLLM,Prob001_accu,normalized_ids,0.516900
8d7983ac-d9d0-499c-8f70-f33aee2df68f,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,no_comments,0.862907
8d7983ac-d9d0-499c-8f70-f33aee2df68f,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,normalized_ids,0.575844
1bb11adb-f816-42a4-8421-da3621d1bed5,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,no_comments,0.888063
1bb11adb-f816-42a4-8421-da3621d1bed5,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,normalized_ids,0.668768
b30e484c-e8a3-4f56-9d90-088082590af6,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,no_comments,0.984707
b30e484c-e8a3-4f56-9d90-088082590af6,aspdac2026_release,VerilogEval-Spec-to-RTL,Prob001_zero,normalized_ids,0.576877
