comparison,mean_hv_delta,mean_hv_auc_delta,mean_best_score_delta,valid_ppa_count_delta,front_points_delta,unique_ppa_points_delta,reference_beating_count_delta,active_archive_members_delta
T58 - classic,-0.016348,-0.015787,0.021823,9.000000,-8.000000,-16.000000,-12.000000,70.000000
T58 - T51,-0.012999,-0.019221,-0.043729,0.000000,1.000000,-4.000000,-9.000000,3.000000
T58 - T56,-0.005803,-0.002862,-0.018874,35.000000,0.000000,5.000000,-1.000000,16.000000
T58 - T57,0.000442,-0.004188,-0.011977,21.000000,-1.000000,-4.000000,-5.000000,-1.000000
